version,ip,prefixlength
ipv4,193.38.32.0,22
ipv6,2a14::,14
ipv6,2a18::,13
ipv6,2a11:8::,29
ipv6,2a01:60::,29
ipv6,2a02:90::,29
ipv6,2a02:b0::,29
ipv6,2a03:40::,27
ipv6,2a11:10::,28
ipv6,2a11:20::,27
ipv6,2001:678::,48
ipv6,2001:679::,32
ipv6,2001:67a::,31
ipv6,2001:67d::,32
ipv6,2001:67e::,31
ipv6,2001:7ff::,32
ipv6,2001:800::,29
ipv6,2001:970::,29
ipv6,2001:bc0::,29
ipv6,2001:bd0::,28
ipv6,2a00:cf0::,29
ipv6,2a00:d50::,29
ipv6,2a00:da0::,29
ipv6,2a00:de0::,28
ipv6,2a00:e88::,29
ipv6,2a00:f58::,29
ipv6,2a00:fb0::,29
ipv6,2a01:2c8::,29
ipv6,2a01:340::,29
ipv6,2a01:370::,29
ipv6,2a01:3c0::,29
ipv6,2a01:3d0::,29
ipv6,2a01:628::,29
ipv6,2a01:700::,28
ipv6,2a01:778::,29
ipv6,2a02:140::,29
ipv6,2a02:150::,29
ipv6,2a02:1a0::,29
ipv6,2a02:1b0::,29
ipv6,2a02:2d0::,29
ipv6,2a02:4c0::,29
ipv6,2a02:510::,29
ipv6,2a02:6d8::,29
ipv6,2a02:860::,29
ipv6,2a02:880::,29
ipv6,2a02:ac0::,29
ipv6,2a02:b40::,29
ipv6,2a02:c30::,29
ipv6,2a02:c68::,29
ipv6,2a02:c90::,29
ipv6,2a02:cd0::,29
ipv6,2a02:cf0::,28
ipv6,2a02:da0::,29
ipv6,2a02:ee0::,28
ipv6,2a03:100::,27
ipv6,2a03:340::,27
ipv6,2a03:d80::,27
ipv6,2a03:e80::,27
ipv6,2a07:300::,26
ipv6,2a0f:940::,26
ipv6,2001:1480::,29
ipv6,2001:1550::,29
ipv6,2001:1570::,29
ipv6,2001:15a0::,29
ipv6,2001:15d0::,29
ipv6,2001:1b20::,29
ipv6,2001:3000::,20
ipv6,2001:4110::,29
ipv6,2001:4b48::,29
ipv6,2001:4d90::,29
ipv6,2001:4da0::,29
ipv6,2001:7fc:1::,48
ipv6,2001:7fc:2::,47
ipv6,2001:7fc:5::,48
ipv6,2001:7fc:6::,47
ipv6,2001:7fc:8::,45
ipv6,2a00:1008::,29
ipv6,2a00:1090::,29
ipv6,2a00:10a8::,29
ipv6,2a00:10e0::,29
ipv6,2a00:1130::,29
ipv6,2a00:11a0::,29
