country,version,ip,prefixlength,state,orgsflat
*,ipv4,23.128.1.0,22,reserved,*
*,ipv4,23.128.5.0,21,reserved,*
*,ipv4,23.128.13.0,22,reserved,*
*,ipv4,23.128.17.0,22,reserved,*
*,ipv4,23.128.21.0,21,reserved,*
*,ipv4,23.128.29.0,22,reserved,*
*,ipv4,23.128.33.0,22,reserved,*
*,ipv4,23.128.37.0,22,reserved,*
*,ipv4,23.128.41.0,22,reserved,*
*,ipv4,23.128.45.0,21,reserved,*
*,ipv4,23.128.53.0,22,reserved,*
*,ipv4,23.128.57.0,22,reserved,*
*,ipv4,23.128.61.0,22,reserved,*
*,ipv4,23.128.66.0,23,reserved,*
*,ipv4,23.128.69.0,21,reserved,*
*,ipv4,23.128.77.0,22,reserved,*
*,ipv4,23.128.81.0,24,reserved,*
*,ipv4,23.128.83.0,24,reserved,*
*,ipv4,23.128.85.0,22,reserved,*
*,ipv4,23.128.89.0,22,reserved,*
*,ipv4,23.128.93.0,22,reserved,*
*,ipv4,23.128.99.0,24,reserved,*
*,ipv4,23.128.101.0,22,reserved,*
*,ipv4,23.128.106.0,23,reserved,*
*,ipv4,23.128.109.0,22,reserved,*
*,ipv4,23.128.113.0,22,reserved,*
*,ipv4,23.128.117.0,22,reserved,*
*,ipv4,23.128.123.0,24,reserved,*
*,ipv4,23.128.125.0,22,reserved,*
*,ipv4,23.128.130.0,23,reserved,*
*,ipv4,23.128.133.0,22,reserved,*
*,ipv4,23.128.137.0,22,reserved,*
*,ipv4,23.128.141.0,22,reserved,*
*,ipv4,23.128.149.0,21,reserved,*
*,ipv4,23.128.157.0,22,reserved,*
*,ipv4,23.128.161.0,22,reserved,*
*,ipv4,23.128.165.0,22,reserved,*
*,ipv4,23.128.169.0,22,reserved,*
*,ipv4,23.128.173.0,22,reserved,*
*,ipv4,23.128.177.0,22,reserved,*
*,ipv4,23.128.181.0,22,reserved,*
*,ipv4,23.128.185.0,22,reserved,*
*,ipv4,23.128.189.0,22,reserved,*
*,ipv4,23.128.193.0,22,reserved,*
*,ipv4,23.128.197.0,22,reserved,*
*,ipv4,23.128.201.0,22,reserved,*
*,ipv4,23.128.205.0,22,reserved,*
*,ipv4,23.128.209.0,22,reserved,*
*,ipv4,23.128.213.0,22,reserved,*
*,ipv4,23.128.217.0,22,reserved,*
*,ipv4,23.128.221.0,22,reserved,*
*,ipv4,23.128.225.0,22,reserved,*
*,ipv4,23.128.229.0,22,reserved,*
*,ipv4,23.128.233.0,22,reserved,*
*,ipv4,23.128.237.0,22,reserved,*
*,ipv4,23.128.241.0,22,reserved,*
