country,version,ip,prefixlength,state,orgsflat
*,ipv4,103.151.166.0,23,reserved,*
*,ipv4,103.152.20.0,24,reserved,*
*,ipv4,103.152.45.0,24,reserved,*
*,ipv4,103.153.67.0,24,reserved,*
*,ipv4,103.153.94.0,23,reserved,*
*,ipv4,103.155.114.0,23,reserved,*
*,ipv4,103.155.120.0,23,reserved,*
*,ipv4,103.157.38.0,23,reserved,*
*,ipv4,103.158.58.0,23,reserved,*
*,ipv4,103.158.80.0,23,reserved,*
*,ipv4,103.158.109.0,24,reserved,*
*,ipv4,103.160.10.0,23,reserved,*
*,ipv4,103.160.52.0,23,reserved,*
*,ipv4,103.160.204.0,24,reserved,*
*,ipv4,103.160.247.0,24,reserved,*
*,ipv4,103.161.0.0,24,reserved,*
*,ipv4,103.161.200.0,23,reserved,*
*,ipv4,103.162.168.0,24,reserved,*
*,ipv4,103.166.28.0,23,reserved,*
*,ipv4,103.166.145.0,24,reserved,*
*,ipv4,103.168.138.0,23,reserved,*
*,ipv4,103.168.247.0,24,reserved,*
*,ipv4,103.169.12.0,23,reserved,*
*,ipv4,103.169.70.0,24,reserved,*
*,ipv4,103.169.88.0,23,reserved,*
*,ipv4,103.169.201.0,24,reserved,*
*,ipv4,103.169.218.0,23,reserved,*
*,ipv4,103.170.240.0,23,reserved,*
*,ipv4,103.171.199.0,24,reserved,*
*,ipv4,103.171.218.0,23,reserved,*
*,ipv4,103.172.36.0,23,reserved,*
*,ipv4,103.172.74.0,23,reserved,*
*,ipv4,103.172.246.0,23,reserved,*
*,ipv4,103.173.26.0,23,reserved,*
*,ipv4,103.174.46.0,23,reserved,*
*,ipv4,103.174.182.0,23,reserved,*
*,ipv4,103.175.234.0,23,reserved,*
*,ipv4,103.176.100.0,23,reserved,*
*,ipv4,103.176.102.0,23,reserved,*
*,ipv4,103.177.50.0,23,reserved,*
*,ipv4,103.177.198.0,24,reserved,*
*,ipv4,103.179.28.0,23,reserved,*
*,ipv4,103.179.133.0,24,reserved,*
*,ipv4,103.179.152.0,23,reserved,*
*,ipv4,103.180.10.0,24,reserved,*
*,ipv4,103.180.56.0,23,reserved,*
*,ipv4,103.182.42.0,23,reserved,*
*,ipv4,103.186.6.0,23,reserved,*
*,ipv4,103.186.80.0,24,reserved,*
*,ipv4,103.187.115.0,24,reserved,*
*,ipv4,103.188.10.0,23,reserved,*
*,ipv4,103.188.114.0,23,reserved,*
*,ipv4,103.191.108.0,24,reserved,*
*,ipv4,103.191.156.0,24,reserved,*
*,ipv4,103.192.184.0,22,reserved,*
*,ipv4,103.193.4.0,22,reserved,*
*,ipv4,103.193.164.0,24,reserved,*
*,ipv4,103.196.56.0,22,reserved,*
*,ipv4,103.197.160.0,22,reserved,*
*,ipv4,103.197.252.0,23,reserved,*
*,ipv4,103.198.44.0,22,reserved,*
*,ipv4,103.198.88.0,22,reserved,*
*,ipv4,103.198.114.0,23,reserved,*
*,ipv4,103.198.185.0,24,reserved,*
*,ipv4,103.205.88.0,22,reserved,*
*,ipv4,103.209.173.0,24,reserved,*
*,ipv4,103.210.130.0,23,reserved,*
*,ipv4,103.210.211.0,24,reserved,*
*,ipv4,103.214.36.0,22,reserved,*
*,ipv4,103.215.128.0,22,reserved,*
*,ipv4,103.218.138.0,23,reserved,*
*,ipv4,103.218.226.0,23,reserved,*
*,ipv4,103.226.10.0,24,reserved,*
*,ipv4,103.227.108.0,22,reserved,*
*,ipv4,103.228.194.0,23,reserved,*
*,ipv4,103.230.108.0,23,reserved,*
*,ipv4,103.230.128.0,23,reserved,*
*,ipv4,103.231.224.0,22,reserved,*
*,ipv4,103.237.85.0,24,reserved,*
*,ipv4,103.238.218.0,23,reserved,*
*,ipv4,103.239.40.0,24,reserved,*
*,ipv4,103.241.72.0,22,reserved,*
*,ipv4,103.241.174.0,23,reserved,*
*,ipv4,103.241.194.0,23,reserved,*
*,ipv4,103.242.40.0,22,reserved,*
*,ipv4,103.243.233.0,24,reserved,*
*,ipv4,103.244.40.0,22,reserved,*
*,ipv4,103.246.105.0,24,reserved,*
*,ipv4,103.251.10.0,23,reserved,*
*,ipv4,103.251.12.0,23,reserved,*
*,ipv4,103.254.82.0,23,reserved,*
*,ipv4,103.255.54.0,24,reserved,*
*,ipv4,113.52.128.0,22,reserved,*
*,ipv4,113.192.44.0,23,reserved,*
*,ipv4,113.192.56.0,23,reserved,*
*,ipv4,113.212.76.0,23,reserved,*
*,ipv4,119.15.65.0,24,reserved,*
*,ipv4,119.15.152.0,23,reserved,*
*,ipv4,119.63.2.0,24,reserved,*
*,ipv4,119.252.224.0,20,reserved,*
*,ipv4,121.0.62.0,23,reserved,*
*,ipv4,122.49.200.0,21,reserved,*
*,ipv4,122.102.16.0,21,reserved,*
*,ipv4,123.108.144.0,21,reserved,*
*,ipv4,123.253.240.0,22,reserved,*
*,ipv4,146.62.0.0,16,reserved,*
*,ipv4,150.107.228.0,22,reserved,*
*,ipv4,157.10.176.0,23,reserved,*
*,ipv4,157.10.208.0,24,reserved,*
*,ipv4,157.15.26.0,24,reserved,*
*,ipv4,157.20.8.0,23,reserved,*
*,ipv4,157.20.33.0,24,reserved,*
*,ipv4,157.20.110.0,23,reserved,*
*,ipv4,157.66.154.0,23,reserved,*
