region,ip,prefixlength,state
ripencc,80.69.160.0,21,allocated
ripencc,80.208.240.0,21,allocated
ripencc,80.69.168.0,22,allocated
ripencc,80.69.172.0,22,allocated
ripencc,81.197.0.0,16,allocated
ripencc,81.209.0.0,17,allocated
ripencc,81.175.128.0,17,allocated
ripencc,81.16.64.0,20,allocated
ripencc,81.19.112.0,20,allocated
ripencc,81.22.160.0,20,allocated
ripencc,81.22.240.0,20,allocated
ripencc,81.31.48.0,20,allocated
ripencc,81.90.64.0,20,allocated
ripencc,81.20.224.0,20,assigned
ripencc,81.17.192.0,21,allocated
ripencc,81.17.200.0,21,allocated
ripencc,82.181.0.0,16,allocated
ripencc,82.128.128.0,17,allocated
ripencc,82.133.128.0,17,allocated
ripencc,82.203.128.0,17,allocated
ripencc,82.138.128.0,18,allocated
ripencc,82.141.64.0,18,allocated
ripencc,82.215.192.0,18,allocated
ripencc,82.103.192.0,18,allocated
ripencc,82.130.0.0,18,assigned
ripencc,82.118.192.0,19,allocated
ripencc,82.116.224.0,19,allocated
ripencc,82.199.160.0,19,allocated
ripencc,82.197.0.0,19,allocated
ripencc,82.199.224.0,19,allocated
ripencc,82.195.192.0,19,allocated
ripencc,83.100.0.0,17,allocated
ripencc,83.102.0.0,17,allocated
ripencc,83.245.128.0,17,allocated
ripencc,83.150.64.0,18,allocated
ripencc,83.148.192.0,18,allocated
ripencc,83.146.192.0,18,allocated
ripencc,83.145.192.0,18,allocated
ripencc,83.146.128.0,19,allocated
ripencc,83.216.0.0,19,allocated
ripencc,83.146.160.0,19,allocated
ripencc,83.136.248.0,21,allocated
ripencc,83.143.216.0,21,assigned
ripencc,83.143.56.0,21,assigned
ripencc,83.143.88.0,21,assigned
ripencc,83.142.72.0,21,assigned
ripencc,84.248.0.0,14,allocated
ripencc,84.230.0.0,15,allocated
ripencc,84.34.0.0,16,allocated
ripencc,84.239.128.0,17,allocated
ripencc,84.253.192.0,18,allocated
ripencc,84.20.128.0,19,allocated
ripencc,84.240.64.0,19,allocated
ripencc,84.240.96.0,19,allocated
ripencc,84.234.64.0,20,assigned
ripencc,85.76.0.0,14,allocated
ripencc,85.23.0.0,16,allocated
ripencc,85.156.0.0,16,allocated
ripencc,85.157.0.0,16,allocated
ripencc,85.131.0.0,17,allocated
ripencc,85.134.0.0,17,allocated
ripencc,85.217.0.0,17,allocated
ripencc,85.29.64.0,18,allocated
ripencc,85.188.0.0,18,assigned
ripencc,85.194.208.0,21,allocated
ripencc,85.194.224.0,21,allocated
ripencc,85.208.0.0,22,allocated
ripencc,85.208.92.0,22,allocated
ripencc,85.209.100.0,22,allocated
ripencc,85.209.168.0,22,allocated
ripencc,85.194.220.0,22,allocated
ripencc,85.194.216.0,22,allocated
ripencc,85.194.204.0,22,allocated
ripencc,85.194.192.0,23,allocated
ripencc,85.194.234.0,23,allocated
ripencc,85.194.236.0,23,allocated
ripencc,85.194.238.0,23,allocated
ripencc,85.194.194.0,23,allocated
ripencc,85.194.232.0,24,allocated
ripencc,85.202.201.0,24,allocated
ripencc,86.114.0.0,16,allocated
ripencc,86.115.0.0,16,allocated
ripencc,86.50.0.0,16,allocated
ripencc,86.60.128.0,17,allocated
ripencc,86.111.212.0,24,allocated
ripencc,87.92.0.0,14,allocated
ripencc,87.108.0.0,16,allocated
ripencc,87.100.128.0,17,allocated
ripencc,87.254.192.0,19,allocated
ripencc,87.236.224.0,21,allocated
ripencc,87.236.152.0,21,allocated
ripencc,87.236.168.0,21,allocated
ripencc,87.239.120.0,21,assigned
ripencc,88.192.0.0,14,allocated
ripencc,88.112.0.0,15,allocated
ripencc,88.114.0.0,15,allocated
ripencc,88.148.128.0,17,allocated
ripencc,88.85.128.0,19,allocated
ripencc,88.86.128.0,19,allocated
ripencc,89.27.0.0,17,allocated
ripencc,89.166.0.0,17,allocated
ripencc,89.236.64.0,18,allocated
ripencc,89.18.224.0,19,allocated
ripencc,89.17.64.0,19,allocated
ripencc,89.190.0.0,19,allocated
ripencc,89.106.32.0,19,allocated
ripencc,89.250.48.0,20,allocated
ripencc,89.28.208.0,21,allocated
ripencc,89.200.192.0,21,assigned
ripencc,89.44.211.0,24,allocated
ripencc,89.42.43.0,24,allocated
ripencc,89.41.48.0,24,allocated
ripencc,91.152.0.0,13,allocated
ripencc,91.150.0.0,18,allocated
ripencc,91.145.64.0,18,allocated
ripencc,91.123.128.0,20,allocated
ripencc,91.105.248.0,21,allocated
ripencc,91.190.192.0,21,allocated
ripencc,91.90.48.0,21,assigned
ripencc,91.222.188.0,22,assigned
