region,ip,prefixlength,state
afrinic,41.223.184.0,22,allocated
afrinic,41.78.120.0,22,allocated
afrinic,169.239.96.0,22,allocated
afrinic,196.216.160.0,24,assigned
afrinic,197.242.176.0,21,allocated
