region,ip,prefixlength,state
afrinic,41.78.116.0,22,allocated
afrinic,41.138.32.0,19,allocated
afrinic,41.190.228.0,22,allocated
afrinic,41.203.128.0,19,allocated
afrinic,102.213.60.0,22,allocated
afrinic,102.214.4.0,22,allocated
afrinic,102.215.84.0,22,allocated
afrinic,102.217.96.0,22,allocated
afrinic,102.220.24.0,22,allocated
afrinic,154.66.220.0,22,allocated
afrinic,154.127.80.0,20,allocated
afrinic,197.214.0.0,18,allocated
