region,version,ip,prefixlength,state
arin,ipv4,104.193.196.0,22,allocated
arin,ipv4,104.255.176.0,22,allocated
arin,ipv4,162.251.108.0,22,allocated
arin,ipv4,162.254.188.0,22,allocated
arin,ipv4,192.30.124.0,24,allocated
arin,ipv4,204.14.248.0,21,allocated
arin,ipv4,208.66.48.0,21,allocated
arin,ipv6,2602:fd72::,36,allocated
arin,ipv6,2605:6280::,32,allocated
ripencc,ipv4,195.149.107.0,24,assigned
