region,country,ip,prefixlength
afrinic,AO,2001:43f8:390::,48
afrinic,AO,2001:43f8:391::,48
afrinic,AO,2001:43f8:400::,40
afrinic,AO,2001:43f8:760::,48
afrinic,AO,2001:43f8:7c0::,48
afrinic,AO,2001:43f8:9d0::,48
afrinic,AO,2001:43f8:a80::,48
afrinic,AO,2001:43f8:dc0::,48
afrinic,AO,2001:43f8:1100::,48
afrinic,BF,2001:43f8:3d0::,48
afrinic,BF,2001:43f8:a50::,48
afrinic,BF,2001:43f8:b60::,48
afrinic,BF,2001:43f8:b61::,48
afrinic,BF,2001:43f8:1190::,48
afrinic,BF,2001:43fd:4000::,48
afrinic,BI,2001:43f8:990::,48
afrinic,BI,2001:43f8:991::,48
afrinic,BJ,2001:43f8:9a0::,48
afrinic,BJ,2001:43f8:af0::,48
afrinic,BJ,2001:43f8:af1::,48
afrinic,BW,2001:43f8:2a0::,48
afrinic,CD,2001:43f8:3c0::,48
afrinic,CD,2001:43f8:3c1::,48
afrinic,CD,2001:43f8:1460::,48
afrinic,CD,2001:43ff:6000::,48
afrinic,CG,2001:43f8:6a0::,48
afrinic,CG,2001:43f8:6a1::,48
afrinic,CG,2001:43f8:6a2::,48
afrinic,CG,2001:43f8:6a3::,48
afrinic,CI,2001:43f8:940::,48
afrinic,CI,2001:43f8:b20::,48
afrinic,CI,2001:43f8:b70::,48
afrinic,CI,2001:43f8:14a0::,48
afrinic,CI,2001:43f8:1630::,48
afrinic,CI,2001:43ff:a000::,48
afrinic,CM,2001:43f8:d70::,48
afrinic,CM,2001:43f8:d71::,48
afrinic,CM,2001:43f8:1470::,48
afrinic,CM,2001:43fc:a000::,48
afrinic,CM,2001:43fd:c000::,48
afrinic,CM,2001:43fe:c000::,48
afrinic,CM,2001:43ff:8000::,44
afrinic,CV,2001:43f8:16c0::,48
afrinic,CV,2001:43f8:16c1::,48
afrinic,CV,2001:43fc:1000::,48
afrinic,DJ,2001:43f8:9c0::,48
afrinic,DJ,2001:43f8:9c1::,48
afrinic,EG,2001:43f8:40::,48
afrinic,EG,2001:43f8:41::,48
afrinic,EG,2001:43f8:2e0::,48
afrinic,EG,2001:43f8:c50::,48
afrinic,GA,2001:43f8:1160::,48
afrinic,GA,2001:43f8:1161::,48
afrinic,GH,2001:43f8:1a0::,48
afrinic,GH,2001:43f8:1d0::,48
afrinic,GH,2001:43f8:240::,48
afrinic,GH,2001:43f8:241::,48
afrinic,GH,2001:43f8:2d0::,48
afrinic,GH,2001:43f8:300::,48
afrinic,GH,2001:43f8:800::,42
afrinic,GH,2001:43f8:ae0::,48
afrinic,GH,2001:43f8:ae1::,48
afrinic,GH,2001:43f8:b40::,48
afrinic,GH,2001:43f8:b90::,48
afrinic,GH,2001:43f8:bd0::,48
afrinic,GH,2001:43f8:c00::,48
afrinic,GH,2001:43f8:dd0::,48
afrinic,GH,2001:43f8:de0::,48
afrinic,GH,2001:43f8:1360::,48
afrinic,GH,2001:43f8:13d0::,48
afrinic,GH,2001:43f8:1600::,48
afrinic,GH,2001:43f8:1650::,48
afrinic,GH,2001:43fe:4000::,48
afrinic,GH,2001:43fe:5000::,48
afrinic,GH,2001:43fe:8000::,48
afrinic,GM,2001:43f8:970::,48
afrinic,GN,2001:43f8:c60::,48
afrinic,GN,2001:43f8:c61::,48
afrinic,KE,2001:43f8:10::,48
afrinic,KE,2001:43f8:60::,48
afrinic,KE,2001:43f8:c0::,48
afrinic,KE,2001:43f8:c1::,48
afrinic,KE,2001:43f8:200::,48
afrinic,KE,2001:43f8:250::,48
afrinic,KE,2001:43f8:260::,48
afrinic,KE,2001:43f8:6e0::,48
afrinic,KE,2001:43f8:7b0::,48
afrinic,KE,2001:43f8:ab0::,48
afrinic,KE,2001:43f8:c40::,48
afrinic,KE,2001:43f8:cb0::,48
afrinic,KE,2001:43f8:d60::,48
afrinic,KE,2001:43f8:1000::,48
afrinic,KE,2001:43f8:11c0::,48
afrinic,KE,2001:43f8:1440::,48
afrinic,KE,2001:43f8:16d0::,48
afrinic,KE,2001:43fc:4000::,48
afrinic,LR,2001:43f8:a60::,48
afrinic,LR,2001:43f8:a61::,48
afrinic,LS,2001:43f8:210::,48
afrinic,LS,2001:43f8:1170::,48
afrinic,LY,2001:43f8:50::,48
afrinic,LY,2001:43f8:16b0::,48
afrinic,MA,2001:43f8:650::,48
afrinic,MA,2001:43f8:b30::,48
afrinic,MA,2001:43f8:10a0::,48
afrinic,MA,2001:43f8:10c0::,48
afrinic,MA,2001:43f8:10f0::,48
afrinic,MA,2001:43f8:13f0::,48
afrinic,MA,2001:43f8:1670::,48
afrinic,MG,2001:43f8:290::,48
afrinic,MG,2001:43f8:a10::,48
afrinic,MG,2001:43f8:a11::,48
afrinic,MG,2001:43fc:e000::,48
afrinic,ML,2001:43f8:10d0::,48
afrinic,ML,2001:43f8:10e0::,48
afrinic,MU,2001:43f8:90::,48
afrinic,MU,2001:43f8:92::,48
afrinic,MU,2001:43f8:270::,48
afrinic,MU,2001:43f8:271::,48
afrinic,MU,2001:43f8:280::,48
afrinic,MU,2001:43f8:cc0::,44
afrinic,MU,2001:43f8:d00::,48
afrinic,MU,2001:43f8:e00::,40
afrinic,MU,2001:43f8:1150::,48
afrinic,MU,2001:43f8:1151::,48
afrinic,MU,2001:43fe:6000::,48
afrinic,MW,2001:43f8:20::,48
afrinic,MW,2001:43f8:380::,48
afrinic,MW,2001:43f8:1130::,48
afrinic,MW,2001:43f8:13a0::,48
afrinic,MW,2001:43f8:13e0::,48
afrinic,MW,2001:43f8:1640::,48
afrinic,MW,2001:43fc:d000::,48
afrinic,MZ,2001:43f8:640::,48
afrinic,MZ,2001:43f8:930::,48
afrinic,MZ,2001:43f8:931::,48
afrinic,MZ,2001:43f8:a40::,48
afrinic,NA,2001:43f8:80::,48
afrinic,NA,2001:43f8:3b0::,48
afrinic,NA,2001:43f8:980::,48
afrinic,NA,2001:43f8:981::,48
afrinic,NG,2001:43fc::,48
afrinic,NG,2c0f:edf1::,40
afrinic,NG,2001:43f8:160::,48
afrinic,NG,2001:43f8:180::,48
afrinic,NG,2001:43f8:190::,48
afrinic,NG,2001:43f8:1e0::,48
afrinic,NG,2001:43f8:2f0::,48
afrinic,NG,2001:43f8:370::,48
afrinic,NG,2001:43f8:600::,44
afrinic,NG,2001:43f8:660::,48
afrinic,NG,2001:43f8:6c0::,48
afrinic,NG,2001:43f8:9f0::,48
afrinic,NG,2001:43f8:b10::,48
afrinic,NG,2001:43f8:bb0::,48
afrinic,NG,2001:43f8:bb1::,48
afrinic,NG,2001:43f8:be0::,48
afrinic,NG,2001:43f8:d90::,48
afrinic,NG,2001:43f8:1060::,48
afrinic,NG,2001:43f8:11f0::,48
afrinic,NG,2001:43f8:11f1::,48
afrinic,NG,2001:43f8:1200::,44
afrinic,NG,2001:43f8:1310::,48
afrinic,NG,2001:43f8:1340::,48
afrinic,NG,2001:43f8:13c0::,48
afrinic,NG,2001:43f8:1410::,48
afrinic,NG,2001:43f8:1420::,48
afrinic,NG,2001:43f8:1690::,48
afrinic,NG,2001:43f8:1691::,48
afrinic,NG,2001:43fc:5000::,48
afrinic,NG,2001:43fc:6000::,48
afrinic,NG,2001:43fc:c000::,48
afrinic,NG,2001:43fd:6000::,40
afrinic,NG,2001:43fe:1000::,44
afrinic,RW,2001:43f8:150::,48
afrinic,RW,2001:43f8:d80::,48
afrinic,RW,2001:43f8:11e0::,48
afrinic,RW,2001:43fc:9000::,48
afrinic,RW,2001:43fd:8000::,48
afrinic,RW,2001:43fd:a000::,48
afrinic,RW,2001:43ff:c000::,48
afrinic,SC,2001:43f8:a20::,48
afrinic,SC,2001:43f8:a21::,48
afrinic,SD,2001:43f8:7f0::,48
afrinic,SD,2001:43f8:7f1::,48
afrinic,SD,2001:43f8:11d0::,48
afrinic,SL,2001:43f8:b0::,48
afrinic,SL,2001:43f8:a90::,48
afrinic,SN,2001:43f8:cf0::,48
afrinic,SN,2001:43f8:cf1::,48
afrinic,SN,2001:43f8:1400::,48
afrinic,SN,2001:43f8:1610::,48
afrinic,SO,2001:43f8:11a0::,48
afrinic,SO,2001:43f8:11a1::,48
afrinic,SO,2001:43f8:1350::,48
afrinic,SO,2001:43f8:1380::,48
afrinic,SS,2001:43f8:13b1::,48
afrinic,SS,2001:43f8:1660::,48
afrinic,SS,2001:43f8:1661::,48
afrinic,SZ,2001:43f8:9b0::,48
afrinic,SZ,2001:43f8:9b1::,48
afrinic,TD,2001:43f8:16a0::,48
afrinic,TD,2001:43f8:16a1::,48
afrinic,TD,2001:43fd:2000::,48
afrinic,TG,2001:43f8:d10::,48
afrinic,TG,2001:43f8:d11::,48
afrinic,TG,2001:43f8:1110::,48
afrinic,TN,2001:43f8:320::,48
afrinic,TZ,2001:43f8::,48
afrinic,TZ,2001:43f8:1::,48
