region,country,ip,prefixlength
afrinic,TZ,2001:43f8:2::,48
afrinic,TZ,2001:43f8:3::,48
afrinic,TZ,2001:43f8:4::,48
afrinic,TZ,2001:43f8:5::,48
afrinic,TZ,2001:43f8:6::,48
afrinic,TZ,2001:43f8:e0::,48
afrinic,TZ,2001:43f8:330::,48
afrinic,TZ,2001:43f8:610::,48
afrinic,TZ,2001:43f8:611::,48
afrinic,TZ,2001:43f8:680::,48
afrinic,TZ,2001:43f8:b80::,48
afrinic,TZ,2001:43f8:ce0::,48
afrinic,TZ,2001:43f8:1080::,48
afrinic,TZ,2001:43f8:1390::,48
afrinic,TZ,2001:43f8:14d0::,48
afrinic,TZ,2001:43fc:2000::,48
afrinic,TZ,2001:43fd:e000::,48
afrinic,TZ,2001:43ff:2000::,48
afrinic,UG,2001:43ff::,48
afrinic,UG,2001:43f8:130::,48
afrinic,UG,2001:43f8:a30::,48
afrinic,UG,2001:43f8:ad0::,48
afrinic,UG,2001:43f8:d40::,48
afrinic,UG,2001:43f8:1320::,48
afrinic,UG,2001:43f8:1370::,48
afrinic,ZA,2001:42d0::,40
afrinic,ZA,2001:43fe::,48
afrinic,ZA,2c0f:edf0::,36
afrinic,ZA,2001:43f8:30::,48
afrinic,ZA,2001:43f8:70::,45
afrinic,ZA,2001:43f8:a0::,48
afrinic,ZA,2001:43f8:100::,48
afrinic,ZA,2001:43f8:110::,48
afrinic,ZA,2001:43f8:120::,48
afrinic,ZA,2001:43f8:1b0::,48
afrinic,ZA,2001:43f8:1f0::,47
afrinic,ZA,2001:43f8:1f2::,48
afrinic,ZA,2001:43f8:1f3::,48
afrinic,ZA,2001:43f8:1f4::,48
afrinic,ZA,2001:43f8:1f5::,48
afrinic,ZA,2001:43f8:2c0::,48
afrinic,ZA,2001:43f8:360::,48
afrinic,ZA,2001:43f8:3e0::,44
afrinic,ZA,2001:43f8:620::,48
afrinic,ZA,2001:43f8:6b0::,46
afrinic,ZA,2001:43f8:6d0::,46
afrinic,ZA,2001:43f8:700::,44
afrinic,ZA,2001:43f8:750::,44
afrinic,ZA,2001:43f8:770::,46
afrinic,ZA,2001:43f8:790::,48
afrinic,ZA,2001:43f8:7e0::,48
afrinic,ZA,2001:43f8:900::,48
afrinic,ZA,2001:43f8:920::,48
afrinic,ZA,2001:43f8:950::,48
afrinic,ZA,2001:43f8:960::,48
afrinic,ZA,2001:43f8:bc0::,48
afrinic,ZA,2001:43f8:bf0::,48
afrinic,ZA,2001:43f8:c70::,48
afrinic,ZA,2001:43f8:c90::,48
afrinic,ZA,2001:43f8:d20::,44
afrinic,ZA,2001:43f8:d50::,48
afrinic,ZA,2001:43f8:db0::,48
afrinic,ZA,2001:43f8:1030::,48
afrinic,ZA,2001:43f8:1040::,48
afrinic,ZA,2001:43f8:1070::,48
afrinic,ZA,2001:43f8:1090::,48
afrinic,ZA,2001:43f8:1140::,48
afrinic,ZA,2001:43f8:1141::,48
afrinic,ZA,2001:43f8:1180::,48
afrinic,ZA,2001:43f8:11b0::,48
afrinic,ZA,2001:43f8:1300::,48
afrinic,ZA,2001:43f8:1330::,48
afrinic,ZA,2001:43f8:13b0::,48
afrinic,ZA,2001:43f8:1430::,48
afrinic,ZA,2001:43f8:1450::,48
afrinic,ZA,2001:43f8:14b0::,48
afrinic,ZA,2001:43f8:14c0::,48
afrinic,ZA,2001:43f8:14e0::,48
afrinic,ZA,2001:43f8:1500::,44
afrinic,ZA,2001:43f8:1620::,48
afrinic,ZA,2001:43f8:1700::,46
afrinic,ZA,2001:43f8:1800::,40
afrinic,ZA,2001:43f8:1ac0::,44
afrinic,ZA,2001:43fc:8000::,40
afrinic,ZA,2001:43fe:2000::,48
afrinic,ZA,2001:43fe:9000::,48
afrinic,ZA,2001:43fe:a000::,40
afrinic,ZA,2001:43fe:e000::,48
afrinic,ZA,2001:43ff:4000::,48
afrinic,ZA,2001:43ff:e000::,48
afrinic,ZM,2001:43f8:140::,48
afrinic,ZM,2001:43f8:aa0::,48
afrinic,ZM,2001:43f8:da0::,48
afrinic,ZM,2001:43f8:1680::,48
afrinic,ZM,2001:43f8:1681::,48
afrinic,ZW,2001:43f8:310::,48
afrinic,ZW,2001:43f8:9e0::,48
afrinic,ZW,2001:43f8:1020::,48
afrinic,ZW,2001:43f8:10b0::,48
apnic,AE,2001:df4:1980::,48
apnic,AF,2001:df0:d500::,48
apnic,AF,2001:df2:6380::,48
apnic,AF,2001:df2:aa80::,48
apnic,AF,2001:df6:7180::,48
apnic,AU,2001:dc0::,32
apnic,AU,2001:dcd::,32
apnic,AU,2001:ddd::,48
apnic,AU,2001:dea::,48
apnic,AU,2001:df2::,48
apnic,AU,2001:df5::,48
apnic,AU,2001:df8::,32
apnic,AU,2001:df9::,32
apnic,AU,2001:7fa:9::,48
apnic,AU,2001:7fa:a::,48
apnic,AU,2001:7fa:b::,48
apnic,AU,2001:7fa:c::,47
apnic,AU,2001:7fa:e::,48
apnic,AU,2001:dd8:6::,48
apnic,AU,2001:dd8:8::,45
apnic,AU,2001:df0:9::,48
apnic,AU,2001:df0:a::,48
apnic,AU,2001:7fa:11::,48
apnic,AU,2001:dd8:12::,48
apnic,AU,2001:dd8:14::,48
apnic,AU,2001:de8:14::,48
apnic,AU,2001:de8:17::,48
apnic,AU,2001:df0:42::,48
apnic,AU,2001:df0:49::,48
apnic,AU,2001:df0:4b::,48
apnic,AU,2001:df0:4c::,48
apnic,AU,2001:df0:4d::,48
apnic,AU,2001:df0:50::,44
apnic,AU,2001:df0:60::,48
apnic,AU,2001:df0:6f::,48
apnic,AU,2001:df0:71::,48
apnic,AU,2001:df0:73::,48
apnic,AU,2001:df0:74::,48
apnic,AU,2001:df0:7b::,48
apnic,AU,2001:df0:7e::,48
apnic,AU,2001:df0:7f::,48
apnic,AU,2001:df0:80::,48
apnic,AU,2001:df0:81::,48
apnic,AU,2001:df0:83::,48
apnic,AU,2001:df0:86::,48
apnic,AU,2001:df0:8e::,48
apnic,AU,2001:df0:8f::,48
apnic,AU,2001:df0:90::,48
apnic,AU,2001:df0:93::,48
apnic,AU,2001:df0:97::,48
apnic,AU,2001:df0:a1::,48
apnic,AU,2001:df0:a4::,48
apnic,AU,2001:df0:ae::,48
apnic,AU,2001:df0:be::,48
apnic,AU,2001:df0:c1::,48
apnic,AU,2001:df0:c2::,48
apnic,AU,2001:df0:c4::,48
apnic,AU,2001:df0:c7::,48
apnic,AU,2001:df0:c8::,48
apnic,AU,2001:df0:ce::,48
apnic,AU,2001:df0:d4::,48
apnic,AU,2001:df0:d5::,48
apnic,AU,2001:df0:dd::,48
apnic,AU,2001:df0:e1::,48
apnic,AU,2001:df0:e4::,48
apnic,AU,2001:df0:e5::,48
apnic,AU,2001:df0:e7::,48
apnic,AU,2001:df0:e8::,48
apnic,AU,2001:df0:ea::,48
apnic,AU,2001:df0:f1::,48
apnic,AU,2001:df0:f3::,48
apnic,AU,2001:df0:f8::,48
apnic,AU,2001:df0:f9::,48
apnic,AU,2001:df0:fa::,48
apnic,AU,2001:df0:fd::,48
apnic,AU,2001:df0:fe::,48
apnic,AU,2001:df1:80::,48
apnic,AU,2001:df0:100::,40
apnic,AU,2001:df0:201::,48
apnic,AU,2001:df0:204::,48
apnic,AU,2001:df0:206::,48
apnic,AU,2001:df0:209::,48
apnic,AU,2001:df0:20b::,48
apnic,AU,2001:df0:211::,48
apnic,AU,2001:df0:213::,48
apnic,AU,2001:df0:215::,48
apnic,AU,2001:df0:218::,48
apnic,AU,2001:df0:219::,48
apnic,AU,2001:df0:224::,48
apnic,AU,2001:df0:226::,48
apnic,AU,2001:df0:227::,48
apnic,AU,2001:df0:228::,48
apnic,AU,2001:df0:233::,48
apnic,AU,2001:df0:234::,48
apnic,AU,2001:df0:238::,48
apnic,AU,2001:df0:23c::,48
apnic,AU,2001:df0:23d::,48
apnic,AU,2001:df0:241::,48
apnic,AU,2001:df0:245::,48
apnic,AU,2001:df0:246::,48
apnic,AU,2001:df0:249::,48
apnic,AU,2001:df0:24a::,48
apnic,AU,2001:df0:24e::,48
apnic,AU,2001:df0:251::,48
apnic,AU,2001:df0:252::,48
apnic,AU,2001:df0:256::,48
apnic,AU,2001:df0:25a::,48
apnic,AU,2001:df0:267::,48
apnic,AU,2001:df0:26b::,48
apnic,AU,2001:df0:27a::,48
apnic,AU,2001:df0:27d::,48
apnic,AU,2001:df0:294::,48
apnic,AU,2001:df0:29a::,48
apnic,AU,2001:df0:29d::,48
apnic,AU,2001:df0:2a1::,48
apnic,AU,2001:df0:2a9::,48
apnic,AU,2001:df0:2aa::,48
apnic,AU,2001:df0:2ad::,48
apnic,AU,2001:df0:2b0::,48
apnic,AU,2001:df0:2b1::,48
apnic,AU,2001:df0:2bd::,48
apnic,AU,2001:df0:2c7::,48
apnic,AU,2001:df0:2c8::,48
apnic,AU,2001:df0:2ce::,48
apnic,AU,2001:df0:2cf::,48
apnic,AU,2001:df0:2e0::,48
apnic,AU,2001:df0:2e2::,48
apnic,AU,2001:df0:2fa::,48
apnic,AU,2001:df0:2fe::,48
apnic,AU,2001:df0:402::,48
apnic,AU,2001:df0:403::,48
apnic,AU,2001:df0:40a::,48
apnic,AU,2001:df0:40d::,48
apnic,AU,2001:df0:415::,48
apnic,AU,2001:df0:41a::,48
apnic,AU,2001:df0:41c::,48
apnic,AU,2001:df0:421::,48
apnic,AU,2001:df0:441::,48
apnic,AU,2001:df0:447::,48
apnic,AU,2001:df0:460::,48
apnic,AU,2001:df0:466::,48
apnic,AU,2001:df0:468::,48
apnic,AU,2001:df0:500::,40
apnic,AU,2001:df0:680::,48
apnic,AU,2001:df0:780::,48
apnic,AU,2001:df0:d40::,48
apnic,AU,2001:df0:d80::,48
apnic,AU,2001:df0:dc0::,48
apnic,AU,2001:df0:f00::,48
apnic,AU,2001:df1:480::,48
apnic,AU,2001:df1:a80::,48
apnic,AU,2001:df1:b80::,48
apnic,AU,2001:df1:d40::,48
apnic,AU,2001:df1:f00::,48
apnic,AU,2001:df2:800::,48
apnic,AU,2001:df2:e00::,48
apnic,AU,2001:df3:280::,48
apnic,AU,2001:df3:600::,48
apnic,AU,2001:df3:a00::,48
apnic,AU,2001:df4:300::,48
apnic,AU,2001:df4:800::,48
apnic,AU,2001:df5:e00::,48
apnic,AU,2001:df6:500::,48
apnic,AU,2001:df6:600::,48
apnic,AU,2001:df7:280::,48
apnic,AU,2001:df7:b80::,48
apnic,AU,2001:df7:d00::,48
apnic,AU,2001:df7:f00::,48
apnic,AU,2001:df0:1100::,48
apnic,AU,2001:df0:1280::,48
apnic,AU,2001:df0:1300::,48
apnic,AU,2001:df0:1600::,48
apnic,AU,2001:df0:1a80::,48
apnic,AU,2001:df0:1c00::,48
apnic,AU,2001:df0:1e00::,48
apnic,AU,2001:df0:1e01::,48
apnic,AU,2001:df0:1f80::,48
apnic,AU,2001:df0:1fc0::,48
apnic,AU,2001:df0:2000::,48
apnic,AU,2001:df0:2100::,48
apnic,AU,2001:df0:2300::,48
apnic,AU,2001:df0:2500::,48
apnic,AU,2001:df0:2800::,48
apnic,AU,2001:df0:3580::,48
apnic,AU,2001:df0:3940::,48
apnic,AU,2001:df0:3a80::,48
apnic,AU,2001:df0:3c00::,48
apnic,AU,2001:df0:3e00::,48
apnic,AU,2001:df0:4200::,48
apnic,AU,2001:df0:45c0::,48
apnic,AU,2001:df0:45c1::,48
apnic,AU,2001:df0:45c2::,47
apnic,AU,2001:df0:45c4::,46
apnic,AU,2001:df0:4780::,48
apnic,AU,2001:df0:4b00::,48
apnic,AU,2001:df0:5500::,48
apnic,AU,2001:df0:5580::,48
apnic,AU,2001:df0:5b00::,48
apnic,AU,2001:df0:5c80::,48
apnic,AU,2001:df0:5e00::,48
apnic,AU,2001:df0:5e40::,48
apnic,AU,2001:df0:6440::,48
apnic,AU,2001:df0:6a40::,48
apnic,AU,2001:df0:6e40::,48
apnic,AU,2001:df0:7000::,48
apnic,AU,2001:df0:7100::,48
apnic,AU,2001:df0:72c0::,48
apnic,AU,2001:df0:7380::,48
apnic,AU,2001:df0:73c0::,48
apnic,AU,2001:df0:7900::,48
apnic,AU,2001:df0:7b80::,48
apnic,AU,2001:df0:7d40::,48
apnic,AU,2001:df0:7e40::,48
apnic,AU,2001:df0:7e80::,48
apnic,AU,2001:df0:7ec0::,48
apnic,AU,2001:df0:8100::,48
apnic,AU,2001:df0:8200::,48
apnic,AU,2001:df0:8b00::,48
apnic,AU,2001:df0:9380::,48
apnic,AU,2001:df0:94c0::,48
apnic,AU,2001:df0:9500::,48
apnic,AU,2001:df0:9680::,48
apnic,AU,2001:df0:9780::,48
apnic,AU,2001:df0:9c00::,48
apnic,AU,2001:df0:9d00::,48
apnic,AU,2001:df0:9d80::,48
apnic,AU,2001:df0:9e80::,48
apnic,AU,2001:df0:a000::,48
apnic,AU,2001:df0:a100::,48
apnic,AU,2001:df0:a4c0::,48
apnic,AU,2001:df0:a600::,48
apnic,AU,2001:df0:a800::,48
apnic,AU,2001:df0:ab00::,48
apnic,AU,2001:df0:ab40::,48
apnic,AU,2001:df0:ad00::,48
apnic,AU,2001:df0:ae80::,48
apnic,AU,2001:df0:b680::,48
apnic,AU,2001:df0:bbc0::,48
apnic,AU,2001:df0:bc00::,48
apnic,AU,2001:df0:bc40::,48
apnic,AU,2001:df0:c200::,48
apnic,AU,2001:df0:c340::,48
apnic,AU,2001:df0:c580::,48
apnic,AU,2001:df0:c6c0::,48
apnic,AU,2001:df0:c800::,48
apnic,AU,2001:df0:ca00::,48
apnic,AU,2001:df0:ca01::,48
apnic,AU,2001:df0:ca02::,47
apnic,AU,2001:df0:cd80::,48
apnic,AU,2001:df0:cdc0::,48
apnic,AU,2001:df0:cf00::,48
apnic,AU,2001:df0:d100::,48
apnic,AU,2001:df0:d640::,48
apnic,AU,2001:df0:d680::,46
apnic,AU,2001:df0:d780::,48
apnic,AU,2001:df0:d7c0::,48
apnic,AU,2001:df0:da40::,48
apnic,AU,2001:df0:db00::,46
apnic,AU,2001:df0:e200::,48
apnic,AU,2001:df0:e480::,47
apnic,AU,2001:df0:e580::,48
apnic,AU,2001:df0:e700::,48
apnic,AU,2001:df0:e800::,48
apnic,AU,2001:df0:e880::,48
apnic,AU,2001:df0:e8c0::,48
apnic,AU,2001:df0:e9c0::,48
apnic,AU,2001:df0:ed40::,48
apnic,AU,2001:df0:ef80::,48
apnic,AU,2001:df0:f3c0::,48
apnic,AU,2001:df0:fbc0::,48
apnic,AU,2001:df0:fcc0::,48
apnic,AU,2001:df0:fd00::,48
apnic,AU,2001:df1:1080::,48
apnic,AU,2001:df1:1180::,48
apnic,AU,2001:df1:1240::,48
apnic,AU,2001:df1:1300::,48
apnic,AU,2001:df1:1500::,48
apnic,AU,2001:df1:1e00::,48
apnic,AU,2001:df1:2000::,48
apnic,AU,2001:df1:2180::,48
apnic,AU,2001:df1:2700::,48
apnic,AU,2001:df1:2c00::,48
apnic,AU,2001:df1:3000::,48
apnic,AU,2001:df1:3300::,48
apnic,AU,2001:df1:33c0::,48
apnic,AU,2001:df1:3600::,48
apnic,AU,2001:df1:3a00::,48
apnic,AU,2001:df1:3ac0::,48
apnic,AU,2001:df1:4000::,48
apnic,AU,2001:df1:4100::,48
apnic,AU,2001:df1:41c0::,48
apnic,AU,2001:df1:4300::,48
apnic,AU,2001:df1:4600::,48
apnic,AU,2001:df1:4f80::,48
apnic,AU,2001:df1:52c0::,48
apnic,AU,2001:df1:5300::,48
apnic,AU,2001:df1:54c0::,48
apnic,AU,2001:df1:5a00::,48
apnic,AU,2001:df1:5ac0::,48
apnic,AU,2001:df1:5c40::,48
apnic,AU,2001:df1:5e00::,48
apnic,AU,2001:df1:5f00::,48
apnic,AU,2001:df1:6500::,48
apnic,AU,2001:df1:6700::,48
apnic,AU,2001:df1:6800::,48
apnic,AU,2001:df1:69c0::,48
apnic,AU,2001:df1:6ac0::,48
apnic,AU,2001:df1:6f00::,48
apnic,AU,2001:df1:7100::,48
apnic,AU,2001:df1:7300::,48
apnic,AU,2001:df1:7540::,48
apnic,AU,2001:df1:7740::,48
apnic,AU,2001:df1:7980::,48
apnic,AU,2001:df1:7d00::,48
apnic,AU,2001:df1:8100::,48
apnic,AU,2001:df1:8440::,48
apnic,AU,2001:df1:86c0::,48
apnic,AU,2001:df1:8700::,48
apnic,AU,2001:df1:8800::,48
apnic,AU,2001:df1:8ac0::,48
apnic,AU,2001:df1:8c00::,48
apnic,AU,2001:df1:91c0::,48
apnic,AU,2001:df1:9500::,48
apnic,AU,2001:df1:9600::,48
apnic,AU,2001:df1:9a00::,48
apnic,AU,2001:df1:9d00::,48
apnic,AU,2001:df1:a0c0::,48
apnic,AU,2001:df1:a0c1::,48
apnic,AU,2001:df1:ae40::,48
apnic,AU,2001:df1:af00::,48
apnic,AU,2001:df1:af80::,48
apnic,AU,2001:df1:b400::,48
apnic,AU,2001:df1:b401::,48
apnic,AU,2001:df1:b800::,48
apnic,AU,2001:df1:be00::,48
apnic,AU,2001:df1:c100::,48
apnic,AU,2001:df1:c180::,48
apnic,AU,2001:df1:c300::,48
apnic,AU,2001:df1:c400::,48
apnic,AU,2001:df1:c7c0::,48
apnic,AU,2001:df1:ca40::,48
apnic,AU,2001:df1:cac0::,48
apnic,AU,2001:df1:cc00::,48
apnic,AU,2001:df1:cd00::,48
apnic,AU,2001:df1:cf40::,48
apnic,AU,2001:df1:d000::,48
apnic,AU,2001:df1:d2c0::,48
apnic,AU,2001:df1:d300::,48
apnic,AU,2001:df1:d600::,48
apnic,AU,2001:df1:d800::,48
apnic,AU,2001:df1:de00::,48
apnic,AU,2001:df1:df00::,48
apnic,AU,2001:df1:e240::,48
apnic,AU,2001:df1:e700::,48
apnic,AU,2001:df1:e800::,48
apnic,AU,2001:df1:ec00::,48
apnic,AU,2001:df1:ed00::,48
apnic,AU,2001:df1:f100::,48
apnic,AU,2001:df1:fa00::,48
apnic,AU,2001:df1:fc40::,48
apnic,AU,2001:df1:fd00::,48
apnic,AU,2001:df2:1600::,48
apnic,AU,2001:df2:2700::,48
apnic,AU,2001:df2:2900::,48
apnic,AU,2001:df2:2901::,48
apnic,AU,2001:df2:2e00::,48
apnic,AU,2001:df2:3280::,48
apnic,AU,2001:df2:3900::,48
apnic,AU,2001:df2:3b00::,48
apnic,AU,2001:df2:3c00::,45
apnic,AU,2001:df2:4180::,48
apnic,AU,2001:df2:4400::,48
apnic,AU,2001:df2:4900::,48
apnic,AU,2001:df2:4f00::,48
apnic,AU,2001:df2:5300::,48
apnic,AU,2001:df2:5680::,48
apnic,AU,2001:df2:5c80::,48
apnic,AU,2001:df2:6700::,48
apnic,AU,2001:df2:6980::,48
apnic,AU,2001:df2:6b00::,48
apnic,AU,2001:df2:7080::,48
apnic,AU,2001:df2:7480::,48
apnic,AU,2001:df2:7700::,48
apnic,AU,2001:df2:7d00::,48
apnic,AU,2001:df2:7e00::,48
