region,country,ip,prefixlength
afrinic,AO,80.88.9.0,24
afrinic,AO,102.165.190.0,24
afrinic,AO,102.213.54.0,24
afrinic,AO,102.214.127.0,24
afrinic,AO,102.219.30.0,24
afrinic,AO,102.219.226.0,24
afrinic,AO,102.223.3.0,24
afrinic,AO,192.12.111.0,24
afrinic,AO,196.1.15.0,24
afrinic,AO,196.6.255.0,24
afrinic,AO,196.11.189.0,24
afrinic,AO,196.11.234.0,24
afrinic,AO,196.13.109.0,24
afrinic,AO,196.13.204.0,24
afrinic,AO,196.13.243.0,24
afrinic,AO,196.41.77.0,24
afrinic,AO,196.43.197.0,24
afrinic,AO,196.43.210.0,24
afrinic,AO,196.43.223.0,24
afrinic,AO,196.46.21.0,24
afrinic,AO,196.49.6.0,24
afrinic,AO,196.216.161.0,24
afrinic,AO,196.216.248.0,23
afrinic,AO,196.223.1.0,24
afrinic,AO,196.223.13.0,24
afrinic,AO,196.223.19.0,24
afrinic,AO,204.8.204.0,24
afrinic,BF,102.68.125.0,24
afrinic,BF,102.219.92.0,24
afrinic,BF,192.12.116.0,24
afrinic,BF,192.136.55.0,24
afrinic,BF,192.136.56.0,24
afrinic,BF,192.136.57.0,24
afrinic,BF,196.13.207.0,24
afrinic,BF,196.43.247.0,24
afrinic,BF,196.49.19.0,24
afrinic,BF,196.49.74.0,24
afrinic,BF,196.60.76.0,24
afrinic,BF,196.223.47.0,24
afrinic,BI,196.13.223.0,24
afrinic,BI,196.49.3.0,24
afrinic,BI,196.223.3.0,24
afrinic,BI,196.223.36.0,24
afrinic,BJ,196.49.8.0,24
afrinic,BJ,196.192.16.0,20
afrinic,BJ,196.223.40.0,24
afrinic,BW,102.219.206.0,24
afrinic,BW,196.49.24.0,24
afrinic,BW,196.60.4.0,24
afrinic,BW,196.216.163.0,24
afrinic,CD,102.36.144.0,24
afrinic,CD,102.36.180.0,24
afrinic,CD,156.0.198.0,24
afrinic,CD,192.145.188.0,22
afrinic,CD,193.110.104.0,23
afrinic,CD,196.1.137.0,24
afrinic,CD,196.13.110.0,24
afrinic,CD,196.41.67.0,24
afrinic,CD,196.49.68.0,23
afrinic,CD,196.49.76.0,23
afrinic,CD,196.60.64.0,24
afrinic,CD,196.60.78.0,24
afrinic,CD,196.60.92.0,24
afrinic,CD,196.216.216.0,23
afrinic,CD,196.223.28.0,24
afrinic,CF,196.216.160.0,24
afrinic,CG,196.43.240.0,24
afrinic,CG,196.49.56.0,24
afrinic,CG,196.49.60.0,24
afrinic,CG,196.60.56.0,24
afrinic,CG,196.223.32.0,24
afrinic,CI,102.135.191.0,24
afrinic,CI,102.216.100.0,22
afrinic,CI,102.221.152.0,24
afrinic,CI,102.222.82.0,23
afrinic,CI,102.223.249.0,24
afrinic,CI,102.223.252.0,23
afrinic,CI,193.221.218.0,24
afrinic,CI,196.10.122.0,23
afrinic,CI,196.41.75.0,24
afrinic,CI,196.49.0.0,24
afrinic,CI,196.216.226.0,23
afrinic,CI,196.223.4.0,24
afrinic,CM,102.135.189.0,24
afrinic,CM,102.218.252.0,22
afrinic,CM,102.220.222.0,24
afrinic,CM,102.223.6.0,24
afrinic,CM,192.145.186.0,23
afrinic,CM,196.3.90.0,24
afrinic,CM,196.49.38.0,24
afrinic,CM,196.49.84.0,24
afrinic,CM,196.60.6.0,24
afrinic,CM,196.60.7.0,24
afrinic,CM,196.60.84.0,24
afrinic,CM,196.216.212.0,24
afrinic,CV,102.69.151.0,24
afrinic,CV,102.214.188.0,24
afrinic,CV,102.216.132.0,24
afrinic,CV,196.49.96.0,24
afrinic,CV,196.60.112.0,24
afrinic,DJ,196.49.10.0,24
afrinic,DJ,196.223.38.0,24
afrinic,DZ,192.52.232.0,24
afrinic,DZ,192.245.148.0,24
afrinic,DZ,193.41.146.0,23
afrinic,DZ,195.24.80.0,21
afrinic,DZ,195.39.218.0,23
afrinic,EG,62.12.120.0,21
afrinic,EG,84.205.96.0,19
afrinic,EG,102.64.58.0,24
afrinic,EG,102.68.22.0,24
afrinic,EG,102.69.149.0,24
afrinic,EG,102.69.150.0,24
afrinic,EG,102.164.114.0,23
afrinic,EG,102.164.122.0,24
afrinic,EG,102.214.185.0,24
afrinic,EG,102.217.254.0,24
afrinic,EG,102.218.20.0,22
afrinic,EG,102.219.132.0,22
afrinic,EG,102.221.116.0,24
afrinic,EG,102.221.142.0,23
afrinic,EG,102.223.94.0,24
afrinic,EG,102.223.144.0,22
afrinic,EG,102.223.250.0,24
afrinic,EG,155.12.128.0,18
afrinic,EG,192.101.142.0,24
afrinic,EG,193.19.232.0,22
afrinic,EG,193.227.128.0,24
afrinic,EG,195.234.168.0,24
afrinic,EG,195.234.185.0,24
afrinic,EG,195.234.252.0,22
afrinic,EG,196.1.143.0,24
afrinic,EG,196.3.14.0,23
afrinic,EG,196.6.185.0,24
afrinic,EG,196.6.236.0,24
afrinic,EG,196.10.97.0,24
afrinic,EG,196.10.120.0,24
afrinic,EG,196.12.11.0,24
afrinic,EG,196.13.206.0,24
afrinic,EG,196.13.244.0,24
afrinic,EG,196.13.253.0,24
afrinic,EG,196.22.5.0,24
afrinic,EG,196.22.7.0,24
afrinic,EG,196.22.130.0,24
afrinic,EG,196.41.73.0,24
afrinic,EG,196.41.83.0,24
afrinic,EG,196.43.201.0,24
afrinic,EG,196.43.219.0,24
afrinic,EG,196.43.237.0,24
afrinic,EG,196.46.22.0,24
afrinic,EG,196.49.86.0,24
afrinic,EG,196.50.22.0,23
afrinic,EG,196.60.86.0,24
afrinic,EG,196.201.3.0,24
afrinic,EG,196.201.24.0,21
afrinic,EG,196.216.24.0,21
afrinic,EG,196.216.140.0,22
afrinic,EG,196.216.206.0,24
afrinic,EG,196.216.240.0,23
afrinic,EG,196.216.246.0,24
afrinic,EG,196.216.252.0,24
afrinic,EG,196.223.7.0,24
afrinic,EG,196.223.16.0,23
afrinic,GA,192.188.164.0,22
afrinic,GA,192.189.139.0,23
afrinic,GA,196.49.17.0,24
afrinic,GA,196.223.39.0,24
afrinic,GH,45.221.24.0,24
afrinic,GH,45.222.48.0,20
afrinic,GH,45.222.128.0,18
afrinic,GH,102.36.183.0,24
afrinic,GH,102.38.160.0,19
afrinic,GH,102.64.8.0,21
afrinic,GH,102.69.246.0,23
afrinic,GH,102.131.16.0,24
afrinic,GH,102.134.130.0,23
afrinic,GH,102.135.188.0,24
afrinic,GH,102.164.123.0,24
afrinic,GH,102.214.24.0,22
afrinic,GH,102.214.52.0,22
afrinic,GH,102.218.224.0,22
afrinic,GH,102.219.81.0,24
afrinic,GH,102.219.94.0,23
afrinic,GH,102.220.108.0,22
afrinic,GH,102.222.175.0,24
afrinic,GH,102.223.92.0,23
afrinic,GH,102.223.100.0,24
afrinic,GH,102.223.111.0,24
afrinic,GH,102.223.173.0,24
afrinic,GH,102.223.254.0,24
