region,country,version,ip,prefixlength
afrinic,EG,ipv4,196.216.240.0,23
afrinic,EG,ipv4,196.216.246.0,24
afrinic,EG,ipv4,196.216.252.0,24
afrinic,EG,ipv4,196.223.7.0,24
afrinic,EG,ipv4,196.223.16.0,23
afrinic,EG,ipv6,2001:43f8:40::,48
afrinic,EG,ipv6,2001:43f8:41::,48
afrinic,EG,ipv6,2001:43f8:2e0::,48
afrinic,EG,ipv6,2001:43f8:c50::,48
afrinic,GA,ipv4,192.188.164.0,22
afrinic,GA,ipv4,192.189.139.0,23
afrinic,GA,ipv4,196.49.17.0,24
afrinic,GA,ipv4,196.223.39.0,24
afrinic,GA,ipv6,2001:43f8:1160::,48
afrinic,GA,ipv6,2001:43f8:1161::,48
afrinic,GH,ipv4,45.221.24.0,24
afrinic,GH,ipv4,45.222.48.0,20
afrinic,GH,ipv4,45.222.128.0,18
afrinic,GH,ipv4,102.36.183.0,24
afrinic,GH,ipv4,102.38.160.0,19
afrinic,GH,ipv4,102.64.8.0,21
afrinic,GH,ipv4,102.69.246.0,23
afrinic,GH,ipv4,102.131.16.0,24
afrinic,GH,ipv4,102.134.130.0,23
afrinic,GH,ipv4,102.135.188.0,24
afrinic,GH,ipv4,102.164.123.0,24
afrinic,GH,ipv4,102.214.24.0,22
afrinic,GH,ipv4,102.214.52.0,22
afrinic,GH,ipv4,102.218.224.0,22
afrinic,GH,ipv4,102.219.81.0,24
afrinic,GH,ipv4,102.219.94.0,23
afrinic,GH,ipv4,102.220.108.0,22
afrinic,GH,ipv4,102.222.175.0,24
afrinic,GH,ipv4,102.223.92.0,23
afrinic,GH,ipv4,102.223.100.0,24
afrinic,GH,ipv4,102.223.111.0,24
afrinic,GH,ipv4,102.223.173.0,24
afrinic,GH,ipv4,102.223.254.0,24
afrinic,GH,ipv4,129.122.0.0,18
afrinic,GH,ipv4,155.12.224.0,19
afrinic,GH,ipv4,156.0.128.0,19
afrinic,GH,ipv4,156.0.234.0,23
afrinic,GH,ipv4,156.38.96.0,19
afrinic,GH,ipv4,160.226.179.0,24
afrinic,GH,ipv4,164.160.132.0,22
afrinic,GH,ipv4,164.160.240.0,20
afrinic,GH,ipv4,192.251.202.0,24
afrinic,GH,ipv4,193.108.23.0,24
afrinic,GH,ipv4,193.108.28.0,24
afrinic,GH,ipv4,193.194.128.0,24
afrinic,GH,ipv4,196.1.118.0,24
afrinic,GH,ipv4,196.3.64.0,24
afrinic,GH,ipv4,196.10.215.0,24
afrinic,GH,ipv4,196.11.90.0,24
afrinic,GH,ipv4,196.11.206.0,23
afrinic,GH,ipv4,196.13.123.0,24
afrinic,GH,ipv4,196.13.174.0,23
afrinic,GH,ipv4,196.13.252.0,24
afrinic,GH,ipv4,196.29.224.0,20
afrinic,GH,ipv4,196.40.144.0,20
afrinic,GH,ipv4,196.43.194.0,24
afrinic,GH,ipv4,196.43.196.0,24
afrinic,GH,ipv4,196.43.206.0,23
afrinic,GH,ipv4,196.43.225.0,24
afrinic,GH,ipv4,196.43.242.0,24
afrinic,GH,ipv4,196.46.80.0,20
afrinic,GH,ipv4,196.49.14.0,24
afrinic,GH,ipv4,196.201.2.0,24
afrinic,GH,ipv4,196.201.4.0,23
afrinic,GH,ipv4,196.216.180.0,22
afrinic,GH,ipv4,196.216.188.0,22
afrinic,GH,ipv4,196.216.228.0,23
afrinic,GH,ipv6,2001:43f8:1a0::,48
afrinic,GH,ipv6,2001:43f8:1d0::,48
afrinic,GH,ipv6,2001:43f8:240::,48
afrinic,GH,ipv6,2001:43f8:241::,48
afrinic,GH,ipv6,2001:43f8:2d0::,48
afrinic,GH,ipv6,2001:43f8:300::,48
afrinic,GH,ipv6,2001:43f8:800::,42
afrinic,GH,ipv6,2001:43f8:ae0::,48
afrinic,GH,ipv6,2001:43f8:ae1::,48
afrinic,GH,ipv6,2001:43f8:b40::,48
afrinic,GH,ipv6,2001:43f8:b90::,48
afrinic,GH,ipv6,2001:43f8:bd0::,48
afrinic,GH,ipv6,2001:43f8:c00::,48
afrinic,GH,ipv6,2001:43f8:dd0::,48
afrinic,GH,ipv6,2001:43f8:de0::,48
afrinic,GH,ipv6,2001:43f8:1360::,48
afrinic,GH,ipv6,2001:43f8:13d0::,48
afrinic,GH,ipv6,2001:43f8:1600::,48
afrinic,GH,ipv6,2001:43f8:1650::,48
afrinic,GH,ipv6,2001:43fe:4000::,48
afrinic,GH,ipv6,2001:43fe:5000::,48
afrinic,GH,ipv6,2001:43fe:8000::,48
afrinic,GM,ipv4,196.49.1.0,24
afrinic,GM,ipv4,196.223.34.0,24
afrinic,GM,ipv6,2001:43f8:970::,48
afrinic,GN,ipv4,196.41.90.0,24
afrinic,GN,ipv4,196.49.40.0,24
afrinic,GN,ipv4,196.49.64.0,24
afrinic,GN,ipv4,196.60.38.0,24
afrinic,GN,ipv4,196.60.61.0,24
afrinic,GN,ipv6,2001:43f8:c60::,48
afrinic,GN,ipv6,2001:43f8:c61::,48
afrinic,KE,ipv4,80.88.4.0,23
afrinic,KE,ipv4,102.22.108.0,22
afrinic,KE,ipv4,102.68.20.0,24
afrinic,KE,ipv4,102.68.21.0,24
afrinic,KE,ipv4,102.68.142.0,24
afrinic,KE,ipv4,102.69.239.0,24
afrinic,KE,ipv4,102.130.102.0,24
afrinic,KE,ipv4,102.134.129.0,24
afrinic,KE,ipv4,102.213.242.0,24
afrinic,KE,ipv4,102.214.140.0,23
afrinic,KE,ipv4,102.219.23.0,24
afrinic,KE,ipv4,102.219.192.0,23
afrinic,KE,ipv4,102.220.119.0,24
afrinic,KE,ipv4,102.220.221.0,24
afrinic,KE,ipv4,102.221.73.0,24
afrinic,KE,ipv4,102.221.98.0,23
afrinic,KE,ipv4,154.115.160.0,19
afrinic,KE,ipv4,156.0.232.0,23
afrinic,KE,ipv4,160.119.216.0,22
afrinic,KE,ipv4,160.119.244.0,23
afrinic,KE,ipv4,193.109.66.0,23
afrinic,KE,ipv4,194.9.64.0,23
afrinic,KE,ipv4,194.9.82.0,23
afrinic,KE,ipv4,196.1.4.0,24
afrinic,KE,ipv4,196.1.116.0,23
afrinic,KE,ipv4,196.1.131.0,24
afrinic,KE,ipv4,196.1.132.0,24
afrinic,KE,ipv4,196.3.58.0,23
afrinic,KE,ipv4,196.6.202.0,23
afrinic,KE,ipv4,196.6.215.0,24
afrinic,KE,ipv4,196.6.220.0,24
afrinic,KE,ipv4,196.6.229.0,24
afrinic,KE,ipv4,196.11.88.0,23
afrinic,KE,ipv4,196.11.190.0,23
afrinic,KE,ipv4,196.13.121.0,24
afrinic,KE,ipv4,196.13.136.0,23
afrinic,KE,ipv4,196.13.173.0,24
afrinic,KE,ipv4,196.13.202.0,24
afrinic,KE,ipv4,196.13.209.0,24
afrinic,KE,ipv4,196.13.255.0,24
afrinic,KE,ipv4,196.22.131.0,24
afrinic,KE,ipv4,196.28.11.0,24
afrinic,KE,ipv4,196.32.226.0,23
afrinic,KE,ipv4,196.41.68.0,24
afrinic,KE,ipv4,196.41.87.0,24
afrinic,KE,ipv4,196.41.89.0,24
afrinic,KE,ipv4,196.43.192.0,24
afrinic,KE,ipv4,196.43.202.0,24
afrinic,KE,ipv4,196.43.205.0,24
afrinic,KE,ipv4,196.43.211.0,24
afrinic,KE,ipv4,196.43.212.0,24
afrinic,KE,ipv4,196.43.220.0,24
afrinic,KE,ipv4,196.43.228.0,24
afrinic,KE,ipv4,196.43.239.0,24
afrinic,KE,ipv4,196.43.246.0,24
afrinic,KE,ipv4,196.43.248.0,24
afrinic,KE,ipv4,196.46.16.0,24
afrinic,KE,ipv4,196.49.22.0,24
afrinic,KE,ipv4,196.60.2.0,24
afrinic,KE,ipv4,196.60.12.0,24
afrinic,KE,ipv4,196.60.14.0,24
afrinic,KE,ipv4,196.60.36.0,24
afrinic,KE,ipv4,196.60.66.0,24
afrinic,KE,ipv4,196.60.68.0,24
afrinic,KE,ipv4,196.60.80.0,24
afrinic,KE,ipv4,196.60.114.0,24
afrinic,KE,ipv4,196.192.124.0,24
afrinic,KE,ipv4,196.216.222.0,23
afrinic,KE,ipv4,196.216.242.0,23
afrinic,KE,ipv4,196.216.245.0,24
afrinic,KE,ipv4,196.223.21.0,24
afrinic,KE,ipv4,196.223.253.0,24
afrinic,KE,ipv4,196.223.254.0,23
afrinic,KE,ipv6,2001:43f8:10::,48
afrinic,KE,ipv6,2001:43f8:60::,48
afrinic,KE,ipv6,2001:43f8:c0::,48
afrinic,KE,ipv6,2001:43f8:c1::,48
afrinic,KE,ipv6,2001:43f8:200::,48
afrinic,KE,ipv6,2001:43f8:250::,48
afrinic,KE,ipv6,2001:43f8:260::,48
afrinic,KE,ipv6,2001:43f8:6e0::,48
afrinic,KE,ipv6,2001:43f8:7b0::,48
afrinic,KE,ipv6,2001:43f8:ab0::,48
afrinic,KE,ipv6,2001:43f8:c40::,48
afrinic,KE,ipv6,2001:43f8:cb0::,48
afrinic,KE,ipv6,2001:43f8:d60::,48
afrinic,KE,ipv6,2001:43f8:1000::,48
afrinic,KE,ipv6,2001:43f8:11c0::,48
afrinic,KE,ipv6,2001:43f8:1440::,48
afrinic,KE,ipv6,2001:43f8:16d0::,48
afrinic,KE,ipv6,2001:43fc:4000::,48
afrinic,LR,ipv4,102.22.224.0,21
afrinic,LR,ipv4,196.49.16.0,24
afrinic,LR,ipv4,196.223.44.0,24
afrinic,LR,ipv6,2001:43f8:a60::,48
afrinic,LR,ipv6,2001:43f8:a61::,48
afrinic,LS,ipv4,64.57.112.0,20
afrinic,LS,ipv4,196.4.255.0,24
afrinic,LS,ipv4,196.11.175.0,24
afrinic,LS,ipv4,196.43.249.0,24
afrinic,LS,ipv4,196.223.24.0,24
afrinic,LS,ipv6,2001:43f8:210::,48
afrinic,LS,ipv6,2001:43f8:1170::,48
afrinic,LY,ipv4,196.60.90.0,24
afrinic,LY,ipv4,196.60.110.0,24
afrinic,LY,ipv6,2001:43f8:50::,48
afrinic,LY,ipv6,2001:43f8:16b0::,48
afrinic,MA,ipv4,102.64.4.0,23
afrinic,MA,ipv4,102.165.189.0,24
afrinic,MA,ipv4,102.216.118.0,24
afrinic,MA,ipv4,102.218.131.0,24
afrinic,MA,ipv4,192.12.117.0,24
afrinic,MA,ipv4,193.194.32.0,19
afrinic,MA,ipv4,196.11.103.0,24
afrinic,MA,ipv4,196.13.108.0,24
afrinic,MA,ipv4,196.43.236.0,24
afrinic,MA,ipv4,196.60.74.0,24
afrinic,MA,ipv6,2001:43f8:650::,48
afrinic,MA,ipv6,2001:43f8:b30::,48
afrinic,MA,ipv6,2001:43f8:10a0::,48
afrinic,MA,ipv6,2001:43f8:10c0::,48
afrinic,MA,ipv6,2001:43f8:10f0::,48
afrinic,MA,ipv6,2001:43f8:13f0::,48
afrinic,MA,ipv6,2001:43f8:1670::,48
afrinic,MG,ipv4,102.216.23.0,24
afrinic,MG,ipv4,196.43.214.0,24
afrinic,MG,ipv4,196.49.13.0,24
afrinic,MG,ipv4,196.223.41.0,24
afrinic,MG,ipv6,2001:43f8:290::,48
afrinic,MG,ipv6,2001:43f8:a10::,48
afrinic,MG,ipv6,2001:43f8:a11::,48
afrinic,MG,ipv6,2001:43fc:e000::,48
afrinic,ML,ipv4,169.239.100.0,22
afrinic,ML,ipv4,196.10.216.0,21
afrinic,ML,ipv4,196.32.112.0,20
afrinic,ML,ipv4,196.49.48.0,24
afrinic,ML,ipv4,196.60.46.0,24
afrinic,ML,ipv6,2001:43f8:10d0::,48
afrinic,ML,ipv6,2001:43f8:10e0::,48
afrinic,MR,ipv4,196.49.18.0,24
afrinic,MR,ipv4,196.223.45.0,24
afrinic,MU,ipv4,45.221.0.0,22
afrinic,MU,ipv4,45.221.16.0,22
afrinic,MU,ipv4,102.69.148.0,24
afrinic,MU,ipv4,102.215.96.0,24
afrinic,MU,ipv4,102.218.128.0,24
afrinic,MU,ipv4,102.218.130.0,24
afrinic,MU,ipv4,102.219.22.0,24
afrinic,MU,ipv4,102.220.125.0,24
afrinic,MU,ipv4,160.0.0.0,17
afrinic,MU,ipv4,196.1.0.0,24
afrinic,MU,ipv4,196.1.7.0,24
afrinic,MU,ipv4,196.3.109.0,24
afrinic,MU,ipv4,196.13.125.0,24
afrinic,MU,ipv4,196.49.9.0,24
afrinic,MU,ipv4,196.49.94.0,24
afrinic,MU,ipv4,196.50.2.0,24
afrinic,MU,ipv4,196.60.108.0,24
afrinic,MU,ipv4,196.192.112.0,23
afrinic,MU,ipv4,196.192.114.0,23
afrinic,MU,ipv4,196.192.140.0,22
afrinic,MU,ipv4,196.216.213.0,24
afrinic,MU,ipv4,196.223.0.0,24
afrinic,MU,ipv4,196.250.252.0,22
afrinic,MU,ipv4,196.251.252.0,22
afrinic,MU,ipv6,2001:43f8:90::,48
afrinic,MU,ipv6,2001:43f8:92::,48
afrinic,MU,ipv6,2001:43f8:270::,48
afrinic,MU,ipv6,2001:43f8:271::,48
afrinic,MU,ipv6,2001:43f8:280::,48
afrinic,MU,ipv6,2001:43f8:cc0::,44
afrinic,MU,ipv6,2001:43f8:d00::,48
afrinic,MU,ipv6,2001:43f8:e00::,40
afrinic,MU,ipv6,2001:43f8:1150::,48
afrinic,MU,ipv6,2001:43f8:1151::,48
afrinic,MU,ipv6,2001:43fe:6000::,48
afrinic,MW,ipv4,45.221.25.0,24
afrinic,MW,ipv4,102.36.145.0,24
afrinic,MW,ipv4,102.130.101.0,24
afrinic,MW,ipv4,102.176.250.0,24
afrinic,MW,ipv4,102.213.28.0,22
afrinic,MW,ipv4,102.220.250.0,24
afrinic,MW,ipv4,102.223.95.0,24
afrinic,MW,ipv4,196.32.208.0,21
afrinic,MW,ipv4,196.49.72.0,24
afrinic,MW,ipv4,196.223.27.0,24
afrinic,MW,ipv6,2001:43f8:20::,48
afrinic,MW,ipv6,2001:43f8:380::,48
afrinic,MW,ipv6,2001:43f8:1130::,48
afrinic,MW,ipv6,2001:43f8:13a0::,48
afrinic,MW,ipv6,2001:43f8:13e0::,48
afrinic,MW,ipv6,2001:43f8:1640::,48
afrinic,MW,ipv6,2001:43fc:d000::,48
afrinic,MZ,ipv4,102.36.146.0,24
afrinic,MZ,ipv4,102.176.248.0,23
afrinic,MZ,ipv4,160.19.190.0,23
afrinic,MZ,ipv4,196.3.96.0,21
afrinic,MZ,ipv4,196.10.148.0,24
afrinic,MZ,ipv4,196.11.135.0,24
afrinic,MZ,ipv4,196.13.101.0,24
afrinic,MZ,ipv4,196.43.234.0,24
afrinic,MZ,ipv4,196.43.241.0,24
afrinic,MZ,ipv4,196.49.34.0,24
afrinic,MZ,ipv4,196.223.33.0,24
afrinic,MZ,ipv6,2001:43f8:640::,48
afrinic,MZ,ipv6,2001:43f8:930::,48
afrinic,MZ,ipv6,2001:43f8:931::,48
afrinic,MZ,ipv6,2001:43f8:a40::,48
afrinic,NA,ipv4,196.3.94.0,24
afrinic,NA,ipv4,196.12.10.0,24
afrinic,NA,ipv4,196.46.28.0,24
afrinic,NA,ipv4,196.49.2.0,24
afrinic,NA,ipv4,196.216.164.0,22
afrinic,NA,ipv4,196.216.207.0,24
afrinic,NA,ipv4,196.223.18.0,24
afrinic,NA,ipv4,196.223.35.0,24
afrinic,NA,ipv4,204.152.14.0,23
afrinic,NA,ipv6,2001:43f8:80::,48
afrinic,NA,ipv6,2001:43f8:3b0::,48
afrinic,NA,ipv6,2001:43f8:980::,48
afrinic,NA,ipv6,2001:43f8:981::,48
afrinic,NG,ipv4,80.88.7.0,24
afrinic,NG,ipv4,80.88.8.0,24
afrinic,NG,ipv4,80.88.10.0,24
afrinic,NG,ipv4,102.64.6.0,24
afrinic,NG,ipv4,102.64.7.0,24
afrinic,NG,ipv4,102.64.48.0,21
afrinic,NG,ipv4,102.67.32.0,20
afrinic,NG,ipv4,102.68.70.0,24
afrinic,NG,ipv4,102.68.104.0,22
afrinic,NG,ipv4,102.68.126.0,24
afrinic,NG,ipv4,102.128.192.0,18
afrinic,NG,ipv4,102.130.103.0,24
afrinic,NG,ipv4,102.131.64.0,18
afrinic,NG,ipv4,102.131.128.0,17
afrinic,NG,ipv4,102.141.233.0,24
afrinic,NG,ipv4,102.141.234.0,24
afrinic,NG,ipv4,102.215.80.0,22
afrinic,NG,ipv4,102.215.222.0,23
afrinic,NG,ipv4,102.216.21.0,24
afrinic,NG,ipv4,102.216.128.0,23
afrinic,NG,ipv4,102.217.255.0,24
afrinic,NG,ipv4,102.219.82.0,24
afrinic,NG,ipv4,102.219.96.0,22
afrinic,NG,ipv4,102.219.194.0,23
afrinic,NG,ipv4,102.220.130.0,23
afrinic,NG,ipv4,102.220.220.0,24
afrinic,NG,ipv4,102.221.114.0,23
afrinic,NG,ipv4,102.221.160.0,22
afrinic,NG,ipv4,102.222.72.0,24
afrinic,NG,ipv4,102.223.101.0,24
afrinic,NG,ipv4,102.223.255.0,24
afrinic,NG,ipv4,156.0.255.0,24
afrinic,NG,ipv4,160.119.246.0,23
afrinic,NG,ipv4,164.160.192.0,21
afrinic,NG,ipv4,165.73.192.0,19
afrinic,NG,ipv4,192.145.184.0,23
afrinic,NG,ipv4,193.189.0.0,18
afrinic,NG,ipv4,196.1.133.0,24
afrinic,NG,ipv4,196.6.103.0,24
afrinic,NG,ipv4,196.6.188.0,22
afrinic,NG,ipv4,196.6.204.0,22
afrinic,NG,ipv4,196.6.216.0,23
afrinic,NG,ipv4,196.6.228.0,24
afrinic,NG,ipv4,196.10.231.0,24
afrinic,NG,ipv4,196.11.104.0,24
afrinic,NG,ipv4,196.11.184.0,22
afrinic,NG,ipv4,196.11.231.0,24
afrinic,NG,ipv4,196.13.0.0,24
afrinic,NG,ipv4,196.13.103.0,24
afrinic,NG,ipv4,196.13.111.0,24
afrinic,NG,ipv4,196.13.112.0,24
afrinic,NG,ipv4,196.13.161.0,24
afrinic,NG,ipv4,196.13.242.0,24
afrinic,NG,ipv4,196.13.245.0,24
afrinic,NG,ipv4,196.22.6.0,24
afrinic,NG,ipv4,196.27.128.0,17
