region,version,ip,prefixlength,org
ripencc,ipv4,217.29.224.0,20,ax.crosskey;Crosskey Banking Solutions Ab Ltd
ripencc,ipv6,2a0d:79c0::,32,ax.crosskey;Crosskey Banking Solutions Ab Ltd
