region,version,ip,prefixlength,org
apnic,ipv4,43.230.6.0,24,n/a
apnic,ipv4,103.20.124.0,24,n/a
apnic,ipv4,103.49.173.0,24,n/a
apnic,ipv4,103.49.174.0,23,n/a
apnic,ipv4,203.98.224.0,19,n/a
apnic,ipv4,203.190.216.0,24,n/a
apnic,ipv6,2403:ae80::,32,n/a
apnic,ipv6,2403:f600::,32,n/a
