region,ip,prefixlength
lacnic,45.4.68.0,22
lacnic,45.4.96.0,24
lacnic,45.5.14.0,24
lacnic,45.5.204.0,22
lacnic,45.6.52.0,22
lacnic,45.7.60.0,22
lacnic,45.65.201.0,24
lacnic,45.65.253.0,24
lacnic,45.71.4.0,24
lacnic,45.71.6.0,24
lacnic,45.71.214.0,23
lacnic,45.160.76.0,23
lacnic,45.161.208.0,23
lacnic,45.162.68.0,22
lacnic,45.162.124.0,24
lacnic,45.162.127.0,24
lacnic,45.163.184.0,22
lacnic,45.165.153.0,24
lacnic,45.165.232.0,22
lacnic,45.166.79.0,24
lacnic,45.166.120.0,22
lacnic,45.167.16.0,24
lacnic,45.168.81.0,24
lacnic,45.168.144.0,22
lacnic,45.168.148.0,22
lacnic,45.169.97.0,24
lacnic,45.169.162.0,24
lacnic,45.169.252.0,24
lacnic,45.171.50.0,23
lacnic,45.171.83.0,24
lacnic,45.171.100.0,22
lacnic,45.171.116.0,23
lacnic,45.171.119.0,24
lacnic,45.171.190.0,24
lacnic,45.171.191.0,24
lacnic,45.172.48.0,22
lacnic,45.172.216.0,23
lacnic,45.173.13.0,24
lacnic,45.173.45.0,24
lacnic,45.173.46.0,24
lacnic,45.173.47.0,24
lacnic,45.173.162.0,23
lacnic,45.173.172.0,22
lacnic,45.173.248.0,22
lacnic,45.174.9.0,24
lacnic,45.174.128.0,24
lacnic,45.175.23.0,24
lacnic,45.175.220.0,22
lacnic,45.177.168.0,22
lacnic,45.177.199.0,24
lacnic,45.177.230.0,23
lacnic,45.178.242.0,24
lacnic,45.178.243.0,24
lacnic,45.179.61.0,24
lacnic,45.179.62.0,23
lacnic,45.179.199.0,24
lacnic,45.180.113.0,24
lacnic,45.180.178.0,24
lacnic,45.181.4.0,23
lacnic,45.181.7.0,24
lacnic,45.181.92.0,22
lacnic,45.181.172.0,22
lacnic,45.182.40.0,24
lacnic,45.183.104.0,23
lacnic,45.183.204.0,22
lacnic,45.183.222.0,23
lacnic,45.183.244.0,23
lacnic,45.183.246.0,24
lacnic,45.184.144.0,22
lacnic,45.185.42.0,24
lacnic,45.185.149.0,24
lacnic,45.185.150.0,23
lacnic,45.186.142.0,24
lacnic,45.186.143.0,24
lacnic,45.187.216.0,22
lacnic,45.187.249.0,24
lacnic,45.188.59.0,24
lacnic,45.188.218.0,24
lacnic,45.189.100.0,22
lacnic,45.190.12.0,24
lacnic,45.190.14.0,24
lacnic,45.190.80.0,22
lacnic,45.190.171.0,24
lacnic,45.191.18.0,23
lacnic,45.224.185.0,24
lacnic,45.225.72.0,23
lacnic,45.225.100.0,22
lacnic,45.225.154.0,23
lacnic,45.226.190.0,23
lacnic,45.227.0.0,22
lacnic,45.227.4.0,24
lacnic,45.227.6.0,23
lacnic,45.228.40.0,22
lacnic,45.228.157.0,24
lacnic,45.229.75.0,24
lacnic,45.229.150.0,24
lacnic,45.229.194.0,24
lacnic,45.231.159.0,24
lacnic,45.231.176.0,22
lacnic,45.231.204.0,23
lacnic,45.233.148.0,22
lacnic,45.233.232.0,23
lacnic,45.233.238.0,23
lacnic,45.234.162.0,23
lacnic,45.235.226.0,24
lacnic,45.236.121.0,24
lacnic,45.237.154.0,23
lacnic,45.237.228.0,22
lacnic,45.238.172.0,22
lacnic,45.238.178.0,24
lacnic,45.239.105.0,24
lacnic,45.239.113.0,24
lacnic,58.84.12.0,23
lacnic,86.111.54.0,23
lacnic,128.201.16.0,23
lacnic,128.201.18.0,23
lacnic,131.0.16.0,22
lacnic,131.0.68.0,22
lacnic,131.0.152.0,22
lacnic,131.72.220.0,22
lacnic,131.108.96.0,22
lacnic,131.108.144.0,22
lacnic,131.161.96.0,22
lacnic,131.196.68.0,23
lacnic,131.196.70.0,24
lacnic,131.196.71.0,24
lacnic,131.196.136.0,22
lacnic,131.221.216.0,22
lacnic,131.221.240.0,22
lacnic,131.255.64.0,22
lacnic,131.255.84.0,22
lacnic,131.255.232.0,22
lacnic,132.255.96.0,22
lacnic,138.0.220.0,22
lacnic,138.36.72.0,22
lacnic,138.59.56.0,22
lacnic,138.59.76.0,22
lacnic,138.59.160.0,22
lacnic,138.59.252.0,22
lacnic,138.97.172.0,22
lacnic,138.117.28.0,22
lacnic,138.117.104.0,22
lacnic,138.117.132.0,22
lacnic,138.118.72.0,22
lacnic,138.121.68.0,22
lacnic,138.121.192.0,22
lacnic,138.122.112.0,22
lacnic,138.185.32.0,22
lacnic,138.185.228.0,22
lacnic,138.186.96.0,22
lacnic,139.82.0.0,16
lacnic,143.54.0.0,16
lacnic,143.106.0.0,16
lacnic,143.107.0.0,16
lacnic,143.108.0.0,16
lacnic,143.137.100.0,22
lacnic,143.137.104.0,22
lacnic,143.137.140.0,22
lacnic,143.208.160.0,22
lacnic,143.208.188.0,22
lacnic,146.134.0.0,16
lacnic,146.164.0.0,16
lacnic,147.65.0.0,16
lacnic,148.59.72.0,24
lacnic,150.161.0.0,16
lacnic,150.162.0.0,16
lacnic,150.163.0.0,16
lacnic,150.164.0.0,16
lacnic,150.165.0.0,16
lacnic,152.84.0.0,16
lacnic,152.92.0.0,16
lacnic,155.211.0.0,16
lacnic,157.86.0.0,16
lacnic,159.112.236.0,23
lacnic,160.19.252.0,22
lacnic,160.238.28.0,23
lacnic,161.24.0.0,16
lacnic,161.79.0.0,16
lacnic,164.41.0.0,16
lacnic,164.85.0.0,16
lacnic,164.163.5.0,24
lacnic,164.163.6.0,23
lacnic,164.163.242.0,24
lacnic,164.163.243.0,24
lacnic,167.249.156.0,22
lacnic,167.249.172.0,22
lacnic,167.250.144.0,22
lacnic,168.121.140.0,22
lacnic,168.181.20.0,22
lacnic,168.194.28.0,22
lacnic,168.195.92.0,22
lacnic,168.195.248.0,22
lacnic,168.197.92.0,22
lacnic,168.228.240.0,22
lacnic,168.228.252.0,22
lacnic,168.232.236.0,22
lacnic,169.150.0.0,23
lacnic,170.0.0.0,22
lacnic,170.66.0.0,16
lacnic,170.78.186.0,23
lacnic,170.79.212.0,22
lacnic,170.80.4.0,24
lacnic,170.80.5.0,24
lacnic,170.80.6.0,23
lacnic,170.81.96.0,22
lacnic,170.81.136.0,24
lacnic,170.81.137.0,24
lacnic,170.81.138.0,24
lacnic,170.82.42.0,24
lacnic,170.82.43.0,24
lacnic,170.82.68.0,22
lacnic,170.82.246.0,24
lacnic,170.83.56.0,23
lacnic,170.84.40.0,22
lacnic,170.150.188.0,22
lacnic,170.231.100.0,22
lacnic,170.238.224.0,24
lacnic,170.238.225.0,24
lacnic,170.245.32.0,24
lacnic,170.245.33.0,24
lacnic,170.245.60.0,22
lacnic,170.245.134.0,23
lacnic,170.246.252.0,22
lacnic,177.8.80.0,20
lacnic,177.8.96.0,20
lacnic,177.10.40.0,22
lacnic,177.10.112.0,22
lacnic,177.11.20.0,22
lacnic,177.11.30.0,24
lacnic,177.11.31.0,24
lacnic,177.11.224.0,21
lacnic,177.11.240.0,22
lacnic,177.11.252.0,24
lacnic,177.11.253.0,24
lacnic,177.20.0.0,17
lacnic,177.20.128.0,19
lacnic,177.21.160.0,19
lacnic,177.22.128.0,19
lacnic,177.22.252.0,23
lacnic,177.23.216.0,22
lacnic,177.23.220.0,23
lacnic,177.23.222.0,23
lacnic,177.23.244.0,24
lacnic,177.23.245.0,24
lacnic,177.23.246.0,24
lacnic,177.23.247.0,24
lacnic,177.38.168.0,21
lacnic,177.39.0.0,22
lacnic,177.39.4.0,22
lacnic,177.44.240.0,20
lacnic,177.52.38.0,23
lacnic,177.52.96.0,22
lacnic,177.52.100.0,23
lacnic,177.52.102.0,24
lacnic,177.52.103.0,24
lacnic,177.52.172.0,24
lacnic,177.52.173.0,24
lacnic,177.52.174.0,23
lacnic,177.52.184.0,21
lacnic,177.52.220.0,24
lacnic,177.52.222.0,23
lacnic,177.53.188.0,24
lacnic,177.53.189.0,24
lacnic,177.53.190.0,24
lacnic,177.53.191.0,24
lacnic,177.53.200.0,23
lacnic,177.53.202.0,23
lacnic,177.53.204.0,22
lacnic,177.54.208.0,20
lacnic,177.66.4.0,24
lacnic,177.66.5.0,24
lacnic,177.66.6.0,24
lacnic,177.66.7.0,24
lacnic,177.66.124.0,23
lacnic,177.66.126.0,23
lacnic,177.66.156.0,23
lacnic,177.66.158.0,23
lacnic,177.66.196.0,22
lacnic,177.67.56.0,22
lacnic,177.67.60.0,23
lacnic,177.67.62.0,24
lacnic,177.67.63.0,24
lacnic,177.67.64.0,22
lacnic,177.67.68.0,24
lacnic,177.67.69.0,24
lacnic,177.67.70.0,24
lacnic,177.67.248.0,24
lacnic,177.67.249.0,24
lacnic,177.67.251.0,24
lacnic,177.67.252.0,24
lacnic,177.67.253.0,24
lacnic,177.67.254.0,24
lacnic,177.67.255.0,24
lacnic,177.70.32.0,19
lacnic,177.70.224.0,20
lacnic,177.71.112.0,20
lacnic,177.72.120.0,21
lacnic,177.72.248.0,22
lacnic,177.72.252.0,23
lacnic,177.72.254.0,24
lacnic,177.72.255.0,24
lacnic,177.73.252.0,24
lacnic,177.74.0.0,18
lacnic,177.84.132.0,22
lacnic,177.84.200.0,24
lacnic,177.84.201.0,24
lacnic,177.84.202.0,23
lacnic,177.84.228.0,22
lacnic,177.85.152.0,23
lacnic,177.85.154.0,24
lacnic,177.85.155.0,24
lacnic,177.85.236.0,23
lacnic,177.85.238.0,24
lacnic,177.85.239.0,24
lacnic,177.86.140.0,23
lacnic,177.86.143.0,24
lacnic,177.86.252.0,22
lacnic,177.87.96.0,22
lacnic,177.87.100.0,23
lacnic,177.87.102.0,24
lacnic,177.87.103.0,24
lacnic,177.90.0.0,16
lacnic,177.91.4.0,22
lacnic,177.91.36.0,24
lacnic,177.91.37.0,24
lacnic,177.91.38.0,24
lacnic,177.91.39.0,24
lacnic,177.91.48.0,22
lacnic,177.91.60.0,22
lacnic,177.91.68.0,22
lacnic,177.92.208.0,20
lacnic,177.93.120.0,21
lacnic,177.93.128.0,21
lacnic,177.93.136.0,23
lacnic,177.101.16.0,20
lacnic,177.104.32.0,19
lacnic,177.105.0.0,18
lacnic,177.105.96.0,20
lacnic,177.124.110.0,24
lacnic,177.124.111.0,24
lacnic,177.125.100.0,23
lacnic,177.125.102.0,24
lacnic,177.125.103.0,24
lacnic,177.125.140.0,23
lacnic,177.125.142.0,23
lacnic,177.125.176.0,22
lacnic,177.125.180.0,24
lacnic,177.125.182.0,24
lacnic,177.125.183.0,24
lacnic,177.128.116.0,24
lacnic,177.128.117.0,24
lacnic,177.128.118.0,23
lacnic,177.128.172.0,23
lacnic,177.128.175.0,24
lacnic,177.129.72.0,23
lacnic,177.129.74.0,24
lacnic,177.129.75.0,24
lacnic,177.129.76.0,24
lacnic,177.129.77.0,24
lacnic,177.129.78.0,24
lacnic,177.129.79.0,24
lacnic,177.129.108.0,23
lacnic,177.129.110.0,24
lacnic,177.129.111.0,24
lacnic,177.129.148.0,22
lacnic,177.131.32.0,20
lacnic,177.136.16.0,20
lacnic,177.136.48.0,20
lacnic,177.152.120.0,22
lacnic,177.154.60.0,22
lacnic,177.154.92.0,24
lacnic,177.154.93.0,24
lacnic,177.154.94.0,24
lacnic,177.154.95.0,24
lacnic,177.154.112.0,20
lacnic,177.190.212.0,24
lacnic,177.190.214.0,24
lacnic,177.190.215.0,24
lacnic,177.190.244.0,23
lacnic,177.190.246.0,23
lacnic,177.220.0.0,17
lacnic,177.221.48.0,21
lacnic,179.0.206.0,23
lacnic,179.42.88.0,22
lacnic,179.48.96.0,22
lacnic,179.51.207.0,24
lacnic,179.97.96.0,20
lacnic,179.106.112.0,20
lacnic,179.106.128.0,20
lacnic,179.106.192.0,18
lacnic,179.109.176.0,20
lacnic,179.109.208.0,20
lacnic,179.109.224.0,19
lacnic,179.124.64.0,18
lacnic,179.124.144.0,20
lacnic,179.127.124.0,23
lacnic,179.127.126.0,24
lacnic,179.127.127.0,24
lacnic,179.127.208.0,20
lacnic,179.190.64.0,19
lacnic,181.191.88.0,22
lacnic,181.191.184.0,23
lacnic,181.224.198.0,24
lacnic,181.232.132.0,22
lacnic,181.232.250.0,23
lacnic,181.232.254.0,24
lacnic,185.91.70.0,24
lacnic,186.208.48.0,20
lacnic,186.208.88.0,21
lacnic,186.208.160.0,20
lacnic,186.217.0.0,16
lacnic,186.219.80.0,20
lacnic,186.227.188.0,23
lacnic,186.227.190.0,23
lacnic,186.232.60.0,24
lacnic,186.232.61.0,24
lacnic,186.232.62.0,23
lacnic,186.232.96.0,22
lacnic,186.232.100.0,22
lacnic,186.232.240.0,24
lacnic,186.232.241.0,24
lacnic,186.232.243.0,24
lacnic,186.232.244.0,24
lacnic,186.232.245.0,24
lacnic,186.232.246.0,24
lacnic,186.232.247.0,24
lacnic,186.233.12.0,22
lacnic,186.233.80.0,22
lacnic,186.233.84.0,22
lacnic,186.233.140.0,24
lacnic,186.233.141.0,24
lacnic,186.233.142.0,24
lacnic,186.233.143.0,24
lacnic,186.233.152.0,21
lacnic,186.233.232.0,22
lacnic,186.236.240.0,20
lacnic,186.237.248.0,21
lacnic,186.249.48.0,20
lacnic,186.249.220.0,24
lacnic,186.249.221.0,24
lacnic,186.249.222.0,24
lacnic,186.249.223.0,24
lacnic,186.250.148.0,22
lacnic,186.251.36.0,23
lacnic,186.251.38.0,24
lacnic,186.251.39.0,24
lacnic,186.251.60.0,24
lacnic,186.251.61.0,24
lacnic,186.251.62.0,23
lacnic,186.251.188.0,23
lacnic,186.251.190.0,23
lacnic,186.251.232.0,22
lacnic,186.251.236.0,22
lacnic,187.0.240.0,20
lacnic,187.16.160.0,20
lacnic,187.16.192.0,19
lacnic,187.17.0.0,20
lacnic,187.19.64.0,20
lacnic,187.60.0.0,20
lacnic,187.60.192.0,20
lacnic,187.62.108.0,23
lacnic,187.62.128.0,20
lacnic,187.62.160.0,20
lacnic,187.63.240.0,20
lacnic,187.73.112.0,20
lacnic,187.85.112.0,20
lacnic,187.86.224.0,20
lacnic,187.87.80.0,20
lacnic,187.110.0.0,18
lacnic,187.111.96.0,20
lacnic,189.1.64.0,20
lacnic,189.8.128.0,17
lacnic,189.28.24.0,21
lacnic,189.28.128.0,20
lacnic,189.38.64.0,20
lacnic,189.38.112.0,20
lacnic,189.50.16.0,20
lacnic,189.50.160.0,20
lacnic,189.51.176.0,20
lacnic,189.76.96.0,19
lacnic,189.76.144.0,20
lacnic,189.90.64.0,20
lacnic,189.90.160.0,20
lacnic,189.91.208.0,20
lacnic,189.113.144.0,20
lacnic,189.127.138.0,23
lacnic,190.83.28.0,22
lacnic,190.89.33.0,24
lacnic,190.89.212.0,22
lacnic,190.111.172.0,22
lacnic,190.111.176.0,24
lacnic,190.111.188.0,22
lacnic,190.123.15.0,24
lacnic,191.4.0.0,16
lacnic,191.5.60.0,23
lacnic,191.5.62.0,23
lacnic,191.6.4.0,24
lacnic,191.6.6.0,24
lacnic,191.6.7.0,24
lacnic,191.7.128.0,21
lacnic,191.7.224.0,19
lacnic,191.36.0.0,17
lacnic,191.36.236.0,24
lacnic,191.36.237.0,24
lacnic,191.36.238.0,24
lacnic,191.36.239.0,24
lacnic,191.37.253.0,24
lacnic,191.37.254.0,24
lacnic,191.37.255.0,24
lacnic,191.52.0.0,18
lacnic,191.52.64.0,18
lacnic,191.52.128.0,18
lacnic,191.52.192.0,20
lacnic,192.80.209.0,24
lacnic,192.83.207.0,24
lacnic,192.100.168.0,24
lacnic,192.100.177.0,24
lacnic,192.100.206.0,24
lacnic,192.100.214.0,23
lacnic,192.100.228.0,23
lacnic,192.100.247.0,24
lacnic,192.100.248.0,24
lacnic,192.100.251.0,24
lacnic,192.100.252.0,23
lacnic,192.111.229.0,24
lacnic,192.111.230.0,24
lacnic,192.132.35.0,24
lacnic,192.135.185.0,24
lacnic,192.140.1.0,24
lacnic,192.140.127.0,24
lacnic,192.141.96.0,24
lacnic,192.141.97.0,24
lacnic,192.144.72.0,23
lacnic,192.146.157.0,24
lacnic,192.146.229.0,24
lacnic,192.147.210.0,24
lacnic,192.147.218.0,24
lacnic,192.153.12.0,24
lacnic,192.153.88.0,24
lacnic,192.153.120.0,24
lacnic,192.159.116.0,23
lacnic,192.160.45.0,24
lacnic,192.160.50.0,24
lacnic,192.160.128.0,24
lacnic,192.160.188.0,24
lacnic,192.188.11.0,24
lacnic,192.195.56.0,24
lacnic,192.195.57.0,24
lacnic,192.195.237.0,24
lacnic,192.207.194.0,24
lacnic,192.207.195.0,24
lacnic,192.207.206.0,24
lacnic,192.231.114.0,23
lacnic,192.231.118.0,23
lacnic,192.231.176.0,24
lacnic,198.17.120.0,23
lacnic,198.17.231.0,24
lacnic,198.17.232.0,24
lacnic,198.49.132.0,23
lacnic,198.58.12.0,24
lacnic,198.97.38.0,24
lacnic,198.184.161.0,24
lacnic,200.0.62.0,24
lacnic,200.0.64.0,24
lacnic,200.0.70.0,24
lacnic,200.0.71.0,24
lacnic,200.0.72.0,24
lacnic,200.0.81.0,24
lacnic,200.0.85.0,24
lacnic,200.0.89.0,24
lacnic,200.0.100.0,23
lacnic,200.0.102.0,24
lacnic,200.0.114.0,24
lacnic,200.0.134.0,23
lacnic,200.0.202.0,23
lacnic,200.1.114.0,24
lacnic,200.1.125.0,24
lacnic,200.5.9.0,24
lacnic,200.6.35.0,24
lacnic,200.6.40.0,24
lacnic,200.6.41.0,24
lacnic,200.6.42.0,24
lacnic,200.6.49.0,24
lacnic,200.6.50.0,23
lacnic,200.6.132.0,23
lacnic,200.7.12.0,23
lacnic,200.9.0.0,23
lacnic,200.9.2.0,24
lacnic,200.9.65.0,24
lacnic,200.9.66.0,24
lacnic,200.9.67.0,24
lacnic,200.9.76.0,23
lacnic,200.9.78.0,24
lacnic,200.9.84.0,24
lacnic,200.9.85.0,24
lacnic,200.9.86.0,23
lacnic,200.9.92.0,23
lacnic,200.9.95.0,24
lacnic,200.9.102.0,23
lacnic,200.9.112.0,23
lacnic,200.9.129.0,24
lacnic,200.9.130.0,23
lacnic,200.9.140.0,24
lacnic,200.9.143.0,24
lacnic,200.9.148.0,24
lacnic,200.9.149.0,24
lacnic,200.9.156.0,24
lacnic,200.9.164.0,24
lacnic,200.9.174.0,24
lacnic,200.9.175.0,24
lacnic,200.9.186.0,24
lacnic,200.9.199.0,24
lacnic,200.9.200.0,24
lacnic,200.9.202.0,23
lacnic,200.9.206.0,23
lacnic,200.9.214.0,24
lacnic,200.9.224.0,24
lacnic,200.9.249.0,24
lacnic,200.9.252.0,24
lacnic,200.10.138.0,24
lacnic,200.10.146.0,24
lacnic,200.10.163.0,24
lacnic,200.10.178.0,23
lacnic,200.10.183.0,24
lacnic,200.10.185.0,24
lacnic,200.10.187.0,24
lacnic,200.10.189.0,24
lacnic,200.10.192.0,23
lacnic,200.10.206.0,24
lacnic,200.10.227.0,24
lacnic,200.10.239.0,24
lacnic,200.10.245.0,24
lacnic,200.11.0.0,21
lacnic,200.11.16.0,21
lacnic,200.11.24.0,22
lacnic,200.11.28.0,24
lacnic,200.12.131.0,24
lacnic,200.12.139.0,24
lacnic,200.12.153.0,24
lacnic,200.12.157.0,24
lacnic,200.13.32.0,24
lacnic,200.14.32.0,23
lacnic,200.14.35.0,24
lacnic,200.17.0.0,20
lacnic,200.17.16.0,20
lacnic,200.17.32.0,19
lacnic,200.17.64.0,20
lacnic,200.17.80.0,20
