region,ip,prefixlength
afrinic,2001:43f8:940::,48
afrinic,2001:43f8:b20::,48
afrinic,2001:43f8:b70::,48
afrinic,2001:43f8:14a0::,48
afrinic,2001:43f8:1630::,48
afrinic,2001:43ff:a000::,48
