region,ip,prefixlength
apnic,103.169.181.0,24
apnic,103.170.78.0,23
apnic,103.171.140.0,23
apnic,103.172.190.0,24
apnic,103.173.60.0,23
apnic,103.175.56.0,23
apnic,103.175.127.0,24
apnic,103.177.19.0,24
apnic,103.177.72.0,23
apnic,103.177.142.0,23
apnic,103.177.186.0,23
apnic,103.177.246.0,23
apnic,103.178.70.0,23
apnic,103.178.82.0,24
apnic,103.179.62.0,23
apnic,103.179.124.0,23
apnic,103.180.54.0,23
apnic,103.181.30.0,23
apnic,103.182.219.0,24
apnic,103.183.38.0,23
apnic,103.185.176.0,23
apnic,103.189.115.0,24
apnic,103.190.68.0,23
apnic,103.190.82.0,23
apnic,103.190.199.0,24
apnic,103.195.54.0,23
apnic,103.198.2.0,23
apnic,103.206.184.0,23
apnic,103.209.11.0,24
apnic,103.213.28.0,23
apnic,103.218.164.0,24
apnic,103.219.114.0,23
apnic,103.219.147.0,24
apnic,103.221.252.0,22
apnic,103.226.122.0,24
apnic,103.228.49.0,24
apnic,103.228.134.0,23
apnic,103.228.200.0,22
apnic,103.231.135.0,24
apnic,103.231.238.0,23
apnic,103.238.63.0,24
apnic,103.243.140.0,22
apnic,103.244.140.0,22
apnic,103.244.162.0,24
apnic,103.247.238.0,23
apnic,103.249.56.0,24
apnic,103.250.42.0,23
apnic,103.253.38.0,23
apnic,103.254.26.0,24
apnic,103.254.94.0,24
apnic,103.254.167.0,24
apnic,103.255.30.0,24
apnic,116.206.132.0,22
apnic,202.0.94.0,24
apnic,202.4.173.0,24
apnic,202.45.159.0,24
apnic,202.52.138.0,23
apnic,202.56.4.0,22
apnic,202.65.10.0,23
apnic,202.90.200.0,22
apnic,202.129.192.0,22
apnic,203.190.0.0,22
apnic,203.190.254.0,23
apnic,203.191.32.0,23
apnic,203.201.48.0,23
apnic,203.223.92.0,22
