region,ip,prefixlength
afrinic,102.141.204.0,22
afrinic,102.164.112.0,23
afrinic,102.220.118.0,24
afrinic,192.68.138.0,24
afrinic,196.41.95.0,24
afrinic,196.216.156.0,22
