state,ip,prefixlength
reserved,154.73.116.0,22
reserved,154.73.144.0,21
reserved,154.73.176.0,22
reserved,154.73.200.0,21
reserved,154.73.236.0,22
reserved,154.115.144.0,21
reserved,154.115.152.0,22
reserved,154.117.0.0,18
reserved,154.118.232.0,21
reserved,154.118.248.0,22
reserved,154.127.96.0,20
reserved,155.11.0.0,16
reserved,155.12.192.0,19
reserved,155.255.0.0,16
reserved,156.0.84.0,22
reserved,156.0.220.0,22
reserved,156.0.240.0,22
reserved,156.0.254.0,24
reserved,156.38.0.0,22
reserved,160.0.224.0,19
reserved,160.19.60.0,22
reserved,160.19.192.0,22
reserved,160.19.236.0,22
reserved,160.20.252.0,22
reserved,160.119.104.0,22
reserved,160.181.0.0,16
reserved,160.184.0.0,16
reserved,160.226.188.0,22
reserved,160.255.0.0,16
reserved,164.160.12.0,22
reserved,164.160.28.0,22
reserved,164.160.56.0,22
reserved,164.160.96.0,22
reserved,164.160.112.0,22
reserved,164.160.128.0,22
reserved,164.160.152.0,21
reserved,164.160.160.0,20
reserved,164.160.188.0,22
reserved,164.160.200.0,21
reserved,164.160.208.0,20
reserved,165.52.0.0,14
reserved,165.73.144.0,20
reserved,168.211.0.0,16
reserved,169.239.48.0,21
reserved,169.239.56.0,22
reserved,169.239.88.0,22
reserved,169.239.144.0,22
reserved,169.239.172.0,22
reserved,169.254.0.0,16
reserved,169.255.8.0,24
reserved,169.255.10.0,23
reserved,169.255.92.0,22
reserved,169.255.96.0,21
reserved,169.255.108.0,22
reserved,169.255.140.0,22
reserved,169.255.200.0,22
reserved,169.255.212.0,22
reserved,169.255.224.0,22
reserved,172.16.0.0,12
reserved,192.0.0.0,24
reserved,192.0.2.0,24
reserved,192.31.196.0,24
reserved,192.52.193.0,24
reserved,192.83.212.0,22
reserved,192.88.99.0,24
reserved,192.145.164.0,22
reserved,192.168.0.0,16
reserved,192.175.48.0,24
reserved,193.188.7.0,24
reserved,193.189.64.0,23
reserved,193.189.128.0,24
reserved,193.194.1.0,24
reserved,193.194.2.0,23
reserved,193.194.4.0,23
reserved,194.6.224.0,24
reserved,196.1.26.0,23
reserved,196.1.52.0,22
reserved,196.1.71.0,24
reserved,196.2.224.0,19
reserved,196.3.57.0,24
reserved,196.6.120.0,24
reserved,196.6.176.0,21
reserved,196.6.186.0,23
reserved,196.6.192.0,22
reserved,196.6.199.0,24
reserved,196.6.226.0,24
reserved,196.6.230.0,24
reserved,196.10.51.0,24
reserved,196.10.56.0,22
reserved,196.10.60.0,24
reserved,196.10.100.0,24
reserved,196.10.140.0,24
reserved,196.10.147.0,24
reserved,196.10.252.0,22
reserved,196.11.75.0,24
reserved,196.11.150.0,23
reserved,196.11.250.0,23
reserved,196.13.102.0,24
reserved,196.13.106.0,24
reserved,196.13.201.0,24
reserved,196.13.203.0,24
reserved,196.20.32.0,19
reserved,196.22.12.0,22
reserved,196.28.9.0,24
reserved,196.29.96.0,19
reserved,196.32.16.0,20
reserved,196.32.200.0,21
reserved,196.41.64.0,24
reserved,196.41.66.0,24
reserved,196.41.69.0,24
reserved,196.41.70.0,23
reserved,196.41.74.0,24
reserved,196.41.78.0,23
reserved,196.41.82.0,24
reserved,196.41.91.0,24
reserved,196.41.92.0,23
reserved,196.42.128.0,17
reserved,196.43.193.0,24
reserved,196.43.198.0,24
reserved,196.43.200.0,24
reserved,196.43.204.0,24
reserved,196.43.216.0,24
reserved,196.43.218.0,24
reserved,196.43.222.0,24
reserved,196.43.224.0,24
reserved,196.43.238.0,24
reserved,196.43.244.0,24
reserved,196.43.250.0,24
reserved,196.43.252.0,24
reserved,196.43.254.0,23
reserved,196.45.112.0,20
reserved,196.46.18.0,23
reserved,196.46.26.0,24
reserved,196.46.29.0,24
reserved,196.46.112.0,22
reserved,196.46.152.0,21
reserved,196.46.248.0,21
reserved,196.49.21.0,24
reserved,196.49.23.0,24
reserved,196.49.25.0,24
reserved,196.49.27.0,24
reserved,196.49.29.0,24
reserved,196.49.31.0,24
reserved,196.49.33.0,24
reserved,196.49.35.0,24
reserved,196.49.36.0,23
reserved,196.49.39.0,24
reserved,196.49.41.0,24
reserved,196.49.43.0,24
reserved,196.49.45.0,24
reserved,196.49.47.0,24
reserved,196.49.49.0,24
reserved,196.49.51.0,24
reserved,196.49.53.0,24
reserved,196.49.55.0,24
reserved,196.49.57.0,24
reserved,196.49.59.0,24
reserved,196.49.61.0,24
reserved,196.49.63.0,24
reserved,196.49.65.0,24
reserved,196.49.67.0,24
reserved,196.49.70.0,23
reserved,196.49.73.0,24
reserved,196.49.75.0,24
reserved,196.49.78.0,23
reserved,196.49.80.0,23
reserved,196.49.83.0,24
reserved,196.49.85.0,24
reserved,196.49.87.0,24
reserved,196.49.89.0,24
reserved,196.49.91.0,24
reserved,196.49.93.0,24
reserved,196.49.95.0,24
reserved,196.49.97.0,24
reserved,196.49.98.0,23
reserved,196.49.100.0,22
reserved,196.49.104.0,21
reserved,196.49.112.0,20
reserved,196.49.128.0,17
reserved,196.50.21.0,24
reserved,196.52.0.0,14
reserved,196.60.1.0,24
reserved,196.60.3.0,24
reserved,196.60.5.0,24
reserved,196.60.13.0,24
reserved,196.60.15.0,24
reserved,196.60.16.0,20
reserved,196.60.32.0,22
reserved,196.60.37.0,24
reserved,196.60.39.0,24
reserved,196.60.41.0,24
reserved,196.60.43.0,24
reserved,196.60.45.0,24
reserved,196.60.47.0,24
reserved,196.60.49.0,24
reserved,196.60.51.0,24
reserved,196.60.53.0,24
reserved,196.60.55.0,24
reserved,196.60.57.0,24
reserved,196.60.59.0,24
reserved,196.60.60.0,24
reserved,196.60.62.0,23
reserved,196.60.65.0,24
reserved,196.60.67.0,24
reserved,196.60.69.0,24
reserved,196.60.72.0,23
reserved,196.60.75.0,24
reserved,196.60.77.0,24
reserved,196.60.79.0,24
reserved,196.60.81.0,24
reserved,196.60.83.0,24
reserved,196.60.85.0,24
reserved,196.60.87.0,24
reserved,196.60.91.0,24
reserved,196.60.93.0,24
reserved,196.60.95.0,24
reserved,196.60.98.0,23
reserved,196.60.100.0,22
reserved,196.60.105.0,24
reserved,196.60.107.0,24
reserved,196.60.109.0,24
reserved,196.60.111.0,24
reserved,196.60.113.0,24
reserved,196.60.115.0,24
reserved,196.60.116.0,22
reserved,196.60.120.0,21
reserved,196.60.128.0,17
reserved,196.61.0.0,22
reserved,196.62.0.0,15
reserved,196.160.0.0,13
reserved,196.192.192.0,18
reserved,196.193.0.0,16
reserved,196.194.0.0,15
reserved,196.202.224.0,21
reserved,196.207.64.0,18
reserved,196.216.0.0,24
reserved,196.216.196.0,22
reserved,196.216.232.0,23
reserved,196.220.208.0,20
reserved,196.246.0.0,16
reserved,196.250.160.0,20
reserved,196.250.248.0,22
reserved,197.148.224.0,19
reserved,197.149.156.0,22
reserved,197.149.188.0,22
reserved,197.157.200.0,22
reserved,197.157.224.0,22
reserved,197.158.128.0,18
reserved,197.159.80.0,21
reserved,197.159.112.0,20
reserved,197.220.192.0,18
reserved,197.231.136.0,21
reserved,197.255.248.0,22
reserved,198.18.0.0,15
reserved,198.51.100.0,24
reserved,203.0.113.0,24
reserved,212.12.224.0,19
reserved,212.122.224.0,19
reserved,213.147.64.0,19
reserved,213.150.96.0,19
reserved,213.247.0.0,19
reserved,217.78.64.0,20
reserved,224.0.0.0,8
reserved,225.0.0.0,8
reserved,226.0.0.0,8
reserved,227.0.0.0,8
reserved,228.0.0.0,8
reserved,229.0.0.0,8
reserved,230.0.0.0,8
reserved,231.0.0.0,8
reserved,232.0.0.0,8
reserved,233.0.0.0,8
reserved,234.0.0.0,8
reserved,235.0.0.0,8
reserved,236.0.0.0,8
reserved,237.0.0.0,8
reserved,238.0.0.0,8
reserved,239.0.0.0,8
reserved,240.0.0.0,8
reserved,241.0.0.0,8
reserved,242.0.0.0,8
reserved,243.0.0.0,8
reserved,244.0.0.0,8
reserved,245.0.0.0,8
reserved,246.0.0.0,8
reserved,247.0.0.0,8
reserved,248.0.0.0,8
reserved,249.0.0.0,8
reserved,250.0.0.0,8
reserved,251.0.0.0,8
reserved,252.0.0.0,8
reserved,253.0.0.0,8
reserved,254.0.0.0,8
reserved,255.0.0.0,8
allocated,41.0.0.0,8
allocated,45.96.0.0,12
allocated,45.192.0.0,12
allocated,45.208.0.0,13
allocated,45.216.0.0,14
allocated,45.220.0.0,15
allocated,45.222.0.0,16
allocated,45.240.0.0,13
