region,ip,prefixlength,state
afrinic,2c0f:f900::,32,allocated
afrinic,2c0f:e870::,32,allocated
afrinic,2c0f:1b00::,32,allocated
afrinic,2001:43f8:10e0::,48,assigned
afrinic,2001:43f8:10d0::,48,assigned
afrinic,2001:42c0::,32,allocated
