region,version,ip,prefixlength,state
lacnic,ipv4,201.218.64.0,19,allocated
lacnic,ipv4,201.218.192.0,19,allocated
lacnic,ipv4,201.218.224.0,19,allocated
lacnic,ipv4,201.221.224.0,20,allocated
lacnic,ipv4,201.221.240.0,20,allocated
lacnic,ipv4,201.224.0.0,16,allocated
lacnic,ipv4,201.225.0.0,16,allocated
lacnic,ipv4,201.226.0.0,16,allocated
lacnic,ipv4,201.227.0.0,16,allocated
lacnic,ipv4,206.224.32.0,19,assigned
lacnic,ipv4,201.218.96.0,19,allocated
lacnic,ipv4,200.108.32.0,20,allocated
lacnic,ipv4,201.131.148.0,22,allocated
lacnic,ipv4,200.75.240.0,20,allocated
lacnic,ipv4,200.90.128.0,20,allocated
lacnic,ipv4,200.6.52.0,24,assigned
lacnic,ipv4,200.6.79.0,24,assigned
lacnic,ipv4,200.6.152.0,21,allocated
lacnic,ipv4,200.10.15.0,24,assigned
lacnic,ipv4,200.10.144.0,24,assigned
lacnic,ipv4,200.12.208.0,21,allocated
lacnic,ipv4,200.14.119.0,24,assigned
lacnic,ipv4,200.33.125.0,24,assigned
lacnic,ipv4,200.46.0.0,17,allocated
lacnic,ipv4,200.10.203.0,24,assigned
lacnic,ipv4,200.46.160.0,20,allocated
lacnic,ipv4,200.46.128.0,19,allocated
lacnic,ipv4,200.75.192.0,19,allocated
lacnic,ipv4,200.74.240.0,21,allocated
lacnic,ipv4,200.71.80.0,23,allocated
lacnic,ipv4,200.75.224.0,20,allocated
lacnic,ipv4,200.46.208.0,20,allocated
lacnic,ipv4,200.46.192.0,20,allocated
lacnic,ipv4,200.46.176.0,20,allocated
lacnic,ipv4,200.46.224.0,19,allocated
ripencc,ipv6,2a00:12f0::,32,allocated
lacnic,ipv6,2803:9ce0::,32,allocated
lacnic,ipv6,2803:96c0::,32,allocated
lacnic,ipv6,2803:8c80::,32,allocated
lacnic,ipv6,2803:8960::,32,allocated
lacnic,ipv6,2803:7bc0::,32,allocated
lacnic,ipv6,2803:73a0::,32,allocated
lacnic,ipv6,2803:7280::,32,allocated
ripencc,ipv6,2a02:29b8::,32,allocated
ripencc,ipv6,2a12:8a80::,29,allocated
ripencc,ipv6,2a06:bbc0::,29,allocated
ripencc,ipv6,2a09:4ac0::,29,allocated
ripencc,ipv6,2a0c:de80::,29,allocated
ripencc,ipv6,2a10:7980::,29,allocated
ripencc,ipv6,2a10:9100::,29,allocated
ripencc,ipv6,2a11:4c0::,29,allocated
ripencc,ipv6,2a11:c6c0::,29,allocated
ripencc,ipv6,2a11:eb00::,29,allocated
ripencc,ipv6,2a12:1500::,29,allocated
ripencc,ipv6,2a05:3ac0::,29,allocated
lacnic,ipv6,2803:9e40::,32,allocated
lacnic,ipv6,2803:f520::,32,allocated
lacnic,ipv6,2803:ac40::,32,allocated
ripencc,ipv6,2a13:240::,29,allocated
apnic,ipv6,2400:bb40::,32,allocated
apnic,ipv6,2407:e8c0::,32,allocated
lacnic,ipv6,2803:f0e0::,32,allocated
lacnic,ipv6,2803:f090::,32,allocated
lacnic,ipv6,2803:ed40::,32,allocated
lacnic,ipv6,2803:e600::,32,allocated
lacnic,ipv6,2803:e240::,32,allocated
lacnic,ipv6,2803:db60::,32,allocated
lacnic,ipv6,2803:a380::,32,allocated
lacnic,ipv6,2803:d840::,32,allocated
lacnic,ipv6,2803:d040::,32,allocated
lacnic,ipv6,2803:ce90::,32,allocated
lacnic,ipv6,2803:c820::,32,allocated
lacnic,ipv6,2803:c560::,32,allocated
lacnic,ipv6,2803:bd80::,32,allocated
lacnic,ipv6,2803:b840::,32,allocated
lacnic,ipv6,2803:b710::,32,allocated
lacnic,ipv6,2803:ae40::,32,allocated
lacnic,ipv6,2803:ad80::,32,allocated
lacnic,ipv6,2803:d6c0::,32,allocated
ripencc,ipv6,2001:678:7c4::,48,assigned
lacnic,ipv6,2801:180::,44,assigned
lacnic,ipv6,2803:6e20::,32,allocated
lacnic,ipv6,2801:1b:c000::,48,assigned
lacnic,ipv6,2801:1b:7000::,48,assigned
lacnic,ipv6,2801:19:1000::,48,assigned
lacnic,ipv6,2801:17:c000::,44,assigned
lacnic,ipv6,2801:17:9000::,48,assigned
lacnic,ipv6,2801:16:3000::,48,assigned
lacnic,ipv6,2801:14:d000::,44,assigned
lacnic,ipv6,2801:13:8800::,48,assigned
lacnic,ipv6,2801:0:490::,48,assigned
lacnic,ipv6,2801:0:2d0::,48,assigned
lacnic,ipv6,2801:0:240::,48,assigned
lacnic,ipv6,2800:ce0::,32,allocated
lacnic,ipv6,2800:980::,32,allocated
lacnic,ipv6,2800:354::,30,allocated
lacnic,ipv6,2800:352::,31,allocated
lacnic,ipv6,2800:351::,32,allocated
lacnic,ipv6,2800:350::,32,allocated
lacnic,ipv6,2800:140::,32,allocated
lacnic,ipv6,2001:1368::,32,assigned
lacnic,ipv6,2801:1c:6000::,48,assigned
lacnic,ipv6,2801:1e:2800::,48,assigned
lacnic,ipv6,2801:138::,40,assigned
lacnic,ipv6,2801:158::,36,assigned
lacnic,ipv6,2803:58a0::,32,allocated
lacnic,ipv6,2803:5120::,32,allocated
lacnic,ipv6,2803:4be0::,32,allocated
lacnic,ipv6,2803:4710::,32,allocated
lacnic,ipv6,2803:4300::,32,allocated
lacnic,ipv6,2803:3620::,32,allocated
lacnic,ipv6,2803:3520::,32,allocated
lacnic,ipv6,2803:34a0::,32,allocated
lacnic,ipv6,2803:3400::,32,allocated
ripencc,ipv6,2001:67c:17e0::,48,assigned
lacnic,ipv6,2803:3000::,32,allocated
lacnic,ipv6,2803:2d80::,32,allocated
lacnic,ipv6,2803:2b00::,32,allocated
lacnic,ipv6,2803:2940::,32,allocated
lacnic,ipv6,2803:2900::,32,allocated
lacnic,ipv6,2803:b80::,32,allocated
lacnic,ipv6,2803:600::,32,allocated
lacnic,ipv6,2803:490::,32,allocated
lacnic,ipv6,2803:290::,32,allocated
lacnic,ipv6,2803:200::,32,allocated
lacnic,ipv6,2803:2e40::,32,allocated
lacnic,ipv6,2803:fb00::,32,allocated
