region,version,ip,prefixlength,state
apnic,ipv4,202.65.32.0,19,allocated
apnic,ipv4,103.186.244.0,23,allocated
apnic,ipv6,2407:5800::,32,allocated
apnic,ipv6,2400:76a0::,32,allocated
