region,ip,prefixlength,state
lacnic,143.0.160.0,22,allocated
lacnic,138.185.248.0,22,allocated
lacnic,138.122.244.0,22,allocated
lacnic,138.122.24.0,22,allocated
lacnic,138.121.140.0,22,allocated
lacnic,138.118.156.0,22,allocated
lacnic,138.118.80.0,22,allocated
lacnic,138.94.56.0,22,allocated
lacnic,138.59.132.0,22,allocated
lacnic,138.59.16.0,22,allocated
lacnic,131.196.32.0,22,allocated
lacnic,131.108.36.0,22,allocated
lacnic,131.0.72.0,22,allocated
lacnic,128.201.144.0,22,assigned
lacnic,45.239.64.0,22,allocated
lacnic,45.232.116.0,22,allocated
lacnic,45.231.52.0,22,assigned
lacnic,45.229.252.0,22,assigned
lacnic,45.229.246.0,24,allocated
lacnic,45.229.151.0,24,allocated
lacnic,45.227.200.0,22,allocated
lacnic,45.226.64.0,22,allocated
lacnic,45.224.202.0,24,allocated
lacnic,45.188.216.0,23,allocated
lacnic,45.188.128.0,22,allocated
lacnic,45.185.43.0,24,assigned
lacnic,45.182.43.0,24,allocated
lacnic,45.168.196.0,22,assigned
lacnic,45.167.196.0,22,allocated
lacnic,45.167.17.0,24,assigned
lacnic,45.163.136.0,22,allocated
lacnic,45.162.204.0,22,assigned
lacnic,45.160.132.0,22,allocated
lacnic,45.65.188.0,22,allocated
lacnic,45.5.60.0,22,allocated
