version,ip,prefixlength
ipv4,103.105.218.0,24
ipv4,103.97.250.0,24
ipv4,103.23.247.0,24
ipv4,103.120.108.0,24
ipv4,103.22.208.0,24
ipv4,103.17.248.0,24
ipv4,103.17.193.0,24
ipv4,103.17.19.0,24
ipv4,103.144.214.0,24
ipv4,103.14.230.0,24
ipv4,103.14.149.0,24
ipv4,103.10.57.0,24
ipv4,103.10.10.0,24
ipv4,103.145.166.0,24
ipv4,103.40.225.0,24
ipv4,103.46.198.0,24
ipv4,103.142.20.0,24
ipv4,103.67.166.0,24
ipv4,103.146.116.0,24
ipv4,103.140.169.0,24
ipv4,103.48.26.0,24
ipv4,103.137.57.0,24
ipv4,103.51.102.0,24
ipv4,103.52.212.0,24
ipv4,103.131.222.0,24
ipv4,103.131.82.0,24
ipv4,103.129.13.0,24
ipv4,103.29.42.0,24
ipv4,103.126.241.0,24
ipv4,103.123.110.0,24
ipv4,103.122.79.0,24
ipv4,103.149.167.0,24
ipv4,103.141.76.0,24
ipv4,103.69.109.0,24
ipv4,103.166.2.0,24
ipv4,103.155.96.0,24
ipv4,103.254.231.0,24
ipv4,103.251.46.0,24
ipv4,103.249.226.0,24
ipv4,103.247.189.0,24
ipv4,103.246.105.0,24
ipv4,103.245.145.0,24
ipv4,103.239.105.0,24
ipv4,103.237.82.0,24
ipv4,103.234.13.0,24
ipv4,103.231.237.0,24
ipv4,103.226.219.0,24
ipv4,103.215.14.0,24
ipv4,103.206.159.0,24
ipv4,103.204.12.0,24
ipv4,103.198.0.0,24
ipv4,103.248.201.0,24
ipv4,103.182.248.0,24
ipv4,103.187.183.0,24
ipv4,103.156.221.0,24
ipv4,103.158.13.0,24
ipv4,103.158.18.0,24
ipv4,103.161.0.0,24
ipv4,103.161.1.0,24
ipv4,103.161.243.0,24
ipv4,103.152.125.0,24
ipv4,103.169.143.0,24
ipv4,103.171.229.0,24
ipv4,103.173.145.0,24
ipv4,103.168.162.0,24
ipv4,103.174.250.0,24
ipv4,103.175.126.0,24
ipv4,103.177.18.0,24
ipv4,103.177.75.0,24
ipv4,110.44.164.0,22
ipv4,113.52.232.0,21
ipv4,118.26.180.0,22
ipv4,118.26.184.0,22
ipv4,119.63.8.0,21
ipv4,119.63.4.0,22
ipv4,119.63.3.0,24
ipv4,138.213.0.0,16
ipv4,139.5.32.0,22
ipv4,139.5.208.0,22
ipv4,141.229.0.0,16
ipv4,143.171.0.0,16
ipv4,144.1.0.0,16
ipv4,146.62.0.0,16
ipv4,146.117.0.0,16
ipv4,151.172.0.0,16
ipv4,156.16.0.0,16
ipv4,157.81.0.0,16
