region,version,ip,prefixlength,state,orgsflat
ripencc,ipv4,185.17.220.0,22,allocated,[61160;VA;ASN-VATLIB Biblioteca Apostolica Vaticana]
ripencc,ipv4,185.152.68.0,22,allocated,[202865;VA;SPC Dicastero per la Comunicazione]
ripencc,ipv4,212.77.0.0,19,allocated,[8978;VA;ASN-HOLYSEE Holy See - Vatican City State]
ripencc,ipv6,2a01:b8::,32,allocated,[8978;VA;ASN-HOLYSEE Holy See - Vatican City State]
ripencc,ipv6,2a04:640::,29,allocated,[61160;VA;ASN-VATLIB Biblioteca Apostolica Vaticana]
ripencc,ipv6,2a07:8100::,29,allocated,[202865;VA;SPC Dicastero per la Comunicazione]
ripencc,ipv4,193.43.102.0,23,assigned,[61160;VA;ASN-VATLIB Biblioteca Apostolica Vaticana]
