region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,197.214.80.0,20,allocated,[37559;GW;ORANGE-BISSAU]
afrinic,ipv6,2c0f:f928::,32,allocated,[37559;GW;ORANGE-BISSAU]
