region,version,ip,prefixlength,state,orgsflat
afrinic,ipv4,154.72.12.0,22,allocated,[327725;ST;UnitelSTP]
afrinic,ipv4,197.159.160.0,19,allocated,[328191;ST;CST-NET-AS]
afrinic,ipv6,2c0f:fa88::,32,allocated,[328191;ST;CST-NET-AS]
