region,version,ip,prefixlength,state,orgsflat
arin,ipv4,23.170.80.0,24,allocated,[398901;VC;ITSD-VC-01]
arin,ipv4,45.42.232.0,22,allocated,[398901;VC;ITSD-VC-01]
arin,ipv4,104.219.24.0,22,allocated,[46408;VC;COLUMBUS-COMMUNICATION-SVG]
arin,ipv4,104.255.232.0,22,allocated,[46408;VC;COLUMBUS-COMMUNICATION-SVG]
arin,ipv4,162.212.210.0,23,allocated,[46408;VC;COLUMBUS-COMMUNICATION-SVG]
arin,ipv4,192.58.140.0,23,allocated,[46408;VC;COLUMBUS-COMMUNICATION-SVG]
arin,ipv4,199.192.224.0,23,allocated,[46408;VC;COLUMBUS-COMMUNICATION-SVG]
arin,ipv4,204.13.240.0,22,allocated,[46408;VC;COLUMBUS-COMMUNICATION-SVG]
arin,ipv4,206.83.47.0,24,allocated,[32055;VC;SVGIX-ROUTE-SERVER]
arin,ipv4,207.191.240.0,21,allocated,[46408;VC;COLUMBUS-COMMUNICATION-SVG]
arin,ipv4,208.84.200.0,21,allocated,[46408;VC;COLUMBUS-COMMUNICATION-SVG]
arin,ipv6,2600:1e00::,28,allocated,[46408;VC;COLUMBUS-COMMUNICATION-SVG]
arin,ipv6,2602:fce4::,36,allocated,[398901;VC;ITSD-VC-01]
