region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,116.199.200.0,23,allocated,[152093;CK;VAKANETLIMITED-AS-AP VakaNet Limited]
apnic,ipv4,202.65.32.0,19,allocated,[10131;CK;CKTELECOM-CK-AP Telecom Cook Islands]
apnic,ipv6,2401:4d20::,32,allocated,[152093;CK;VAKANETLIMITED-AS-AP VakaNet Limited]
apnic,ipv6,2407:5800::,32,allocated,[10131;CK;CKTELECOM-CK-AP Telecom Cook Islands]
