region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,202.44.112.0,22,allocated,[17458;IO;SURE-IO Sure Diego Garcia Limited]
apnic,ipv4,203.83.48.0,21,allocated,[17458;IO;SURE-IO Sure Diego Garcia Limited]
apnic,ipv6,2401:a440::,32,allocated,[17458;IO;SURE-IO Sure Diego Garcia Limited]
