region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,49.156.48.0,22,allocated,[55885;NU;ISP-NU No. 1 Commercial Center]
apnic,ipv4,202.59.4.0,22,assigned,[10025;AU;IUSN-AS-AP The IUSN Foundation]
apnic,ipv6,2001:df0:8c::,48,assigned,[10025;AU;IUSN-AS-AP The IUSN Foundation]
