region,version,ip,prefixlength,state,orgsflat
apnic,ipv4,43.243.120.0,22,allocated,[133606;TL;VIETTELTIMORLESTE-AS-AP Viettel Timor Leste]
apnic,ipv4,43.243.176.0,22,allocated,[133606;TL;VIETTELTIMORLESTE-AS-AP Viettel Timor Leste]
apnic,ipv4,43.254.56.0,22,allocated,[133606;TL;VIETTELTIMORLESTE-AS-AP Viettel Timor Leste]
apnic,ipv4,45.115.72.0,22,allocated,[58731;TL;TELINTLSA-AS Telekomunikasi Indonesia International T.L. S.A.]
apnic,ipv4,103.26.95.0,24,allocated,[58731;TL;TELINTLSA-AS Telekomunikasi Indonesia International T.L. S.A.]
apnic,ipv4,103.30.112.0,22,allocated,[58731;TL;TELINTLSA-AS Telekomunikasi Indonesia International T.L. S.A.]
apnic,ipv4,103.55.48.0,22,allocated,[58731;TL;TELINTLSA-AS Telekomunikasi Indonesia International T.L. S.A.]
apnic,ipv4,103.94.180.0,22,allocated,[133606;TL;VIETTELTIMORLESTE-AS-AP Viettel Timor Leste]
apnic,ipv4,103.112.36.0,22,allocated,[38077;TL;TIMOR-TELECOM-AS-AP Timor Telecom  SA]
apnic,ipv4,103.143.164.0,23,allocated,[139687;TL;TICTIMORIP-AS-AP TIC TIMOR I.P.]
apnic,ipv4,103.148.184.0,23,allocated,[140223;TL;METROLINK-AS-AP METROLINK LDA.]
apnic,ipv4,103.176.12.0,23,allocated,[149004;TL;MNUL-AS-AP Morapido Net  Unipessoal  Lda.]
apnic,ipv4,103.176.215.0,24,allocated,[136920;TL;GARDAMORLDA-AS-AP Gardamor  Lda]
apnic,ipv4,103.231.123.0,24,allocated,[58731;TL;TELINTLSA-AS Telekomunikasi Indonesia International T.L. S.A.]
apnic,ipv4,103.238.116.0,22,allocated,[133606;TL;VIETTELTIMORLESTE-AS-AP Viettel Timor Leste]
apnic,ipv4,150.242.108.0,22,allocated,[58731;TL;TELINTLSA-AS Telekomunikasi Indonesia International T.L. S.A.]
apnic,ipv4,180.189.160.0,20,allocated,[38077;TL;TIMOR-TELECOM-AS-AP Timor Telecom  SA]
apnic,ipv4,185.126.46.0,23,allocated,[133606;TL;VIETTELTIMORLESTE-AS-AP Viettel Timor Leste]
apnic,ipv4,185.242.38.0,23,allocated,[133606;TL;VIETTELTIMORLESTE-AS-AP Viettel Timor Leste]
apnic,ipv6,2401:4b80::,32,allocated,[133606;TL;VIETTELTIMORLESTE-AS-AP Viettel Timor Leste]
apnic,ipv6,2402:d080::,32,allocated,[58731;TL;TELINTLSA-AS Telekomunikasi Indonesia International T.L. S.A.]
apnic,ipv6,2405:1f00::,32,allocated,[38077;TL;TIMOR-TELECOM-AS-AP Timor Telecom  SA]
apnic,ipv6,2405:d540::,32,allocated,[140223;TL;METROLINK-AS-AP METROLINK LDA.]
apnic,ipv6,2407:f2c0::,32,allocated,[139687;TL;TICTIMORIP-AS-AP TIC TIMOR I.P.]
apnic,ipv4,59.153.132.0,22,assigned,[64055;TL;ANC-TL Ministry of Public Works  Transport]
apnic,ipv4,103.99.26.0,24,assigned,[136920;TL;GARDAMORLDA-AS-AP Gardamor  Lda]
apnic,ipv4,103.175.148.0,24,assigned,[148989;TL;APURVA-AS-AP APURVA UNIPESSOAL LDA]
apnic,ipv4,103.198.176.0,22,assigned,[64055;TL;ANC-TL Ministry of Public Works  Transport]
apnic,ipv4,103.208.36.0,22,assigned,[135065;TL;NIDOM-AS-AP National Directorate of Information and Technology]
apnic,ipv6,2001:df0:840::,48,assigned,[149004;TL;MNUL-AS-AP Morapido Net  Unipessoal  Lda.]
apnic,ipv6,2001:df0:7a00::,48,assigned,[135065;TL;NIDOM-AS-AP National Directorate of Information and Technology]
apnic,ipv6,2001:df0:f980::,48,assigned,[136920;TL;GARDAMORLDA-AS-AP Gardamor  Lda]
apnic,ipv6,2001:df7:f980::,48,assigned,[148989;TL;APURVA-AS-AP APURVA UNIPESSOAL LDA]
