region,version,ip,prefixlength,state,orgsflat
lacnic,ipv4,138.255.252.0,22,allocated,[264645;AW;NEW MILLENNIUM TELECOM SERVICES N.V.]
lacnic,ipv4,179.61.32.0,19,allocated,[11816;AW;SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.]
lacnic,ipv4,181.41.0.0,18,allocated,[11816;AW;SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.]
lacnic,ipv4,186.96.200.0,21,allocated,[11816;AW;SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.]
lacnic,ipv4,186.96.224.0,20,allocated,[11816;AW;SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.]
lacnic,ipv4,186.96.240.0,21,allocated,[11816;AW;SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.]
lacnic,ipv4,186.189.0.0,18,allocated,[11816;AW;SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.]
lacnic,ipv4,186.189.128.0,18,allocated,[11816;AW;SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.]
lacnic,ipv4,190.12.224.0,19,allocated,[11816;AW;SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.]
lacnic,ipv4,190.104.96.0,20,allocated,[264645;AW;NEW MILLENNIUM TELECOM SERVICES N.V.]
lacnic,ipv4,201.229.0.0,18,allocated,[11816;AW;SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.]
lacnic,ipv4,201.229.64.0,18,allocated,[11816;AW;SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.]
lacnic,ipv6,2800:ad0::,32,allocated,[11816;AW;SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.]
lacnic,ipv6,2803:b640::,32,allocated,[264645;AW;NEW MILLENNIUM TELECOM SERVICES N.V.]
lacnic,ipv4,170.84.254.0,24,assigned,[272844;AW;ENNIA CARIBE LEVEN ARUBA N.V.]
lacnic,ipv6,2801:19:5800::,48,assigned,[272844;AW;ENNIA CARIBE LEVEN ARUBA N.V.]
